family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	DEFAULT	1	1	104091	154461	40000000	0
F9-R2	NO_R1_FACTOR	1	1	106295	163701	40000000	0
F9-R2	NO_R1_NO_R2	1	1	106128	163238	40000000	0
F9-R2	NO_R2_CANON	1	1	106091	158739	40000000	0
F9-R2	DEFAULT	1	2	106999	271126	40000000	0
F9-R2	NO_R1_FACTOR	1	2	107962	272441	40000000	0
F9-R2	NO_R1_NO_R2	1	2	108443	276570	40000000	0
F9-R2	NO_R2_CANON	1	2	108110	272589	40000000	0
F9-R2	DEFAULT	1	3	107239	274330	40000000	0
F9-R2	NO_R1_FACTOR	1	3	107961	274941	40000000	0
F9-R2	NO_R1_NO_R2	1	3	107239	276793	40000000	0
F9-R2	NO_R2_CANON	1	3	106907	265515	40000000	0
F9-R2	DEFAULT	1	4	107277	227053	40000000	0
F9-R2	NO_R1_FACTOR	1	4	106240	272775	40000000	0
F9-R2	NO_R1_NO_R2	1	4	105610	276607	40000000	0
F9-R2	NO_R2_CANON	1	4	107758	276774	40000000	0
F9-R2	DEFAULT	1	5	107350	265793	40000000	0
F9-R2	NO_R1_FACTOR	1	5	106999	269534	40000000	0
F9-R2	NO_R1_NO_R2	1	5	106202	264460	40000000	0
F9-R2	NO_R2_CANON	1	5	106388	278108	40000000	0
F9-R2	DEFAULT	1	6	106221	275108	40000000	0
F9-R2	NO_R1_FACTOR	1	6	107017	279700	40000000	0
F9-R2	NO_R1_NO_R2	1	6	106758	271960	40000000	0
F9-R2	NO_R2_CANON	1	6	106721	275257	40000000	0
F9-R2	DEFAULT	1	7	106758	273996	40000000	0
F9-R2	NO_R1_FACTOR	1	7	107554	273774	40000000	0
F9-R2	NO_R1_NO_R2	1	7	106110	271423	40000000	0
F9-R2	NO_R2_CANON	1	7	104036	275756	40000000	0
F9-R2	DEFAULT	1	8	106776	265700	40000000	0
F9-R2	NO_R1_FACTOR	1	8	107721	270275	40000000	0
F9-R2	NO_R1_NO_R2	1	8	106498	272256	40000000	0
F9-R2	NO_R2_CANON	1	8	106758	269090	40000000	0
F9-R2	DEFAULT	1	9	106387	272181	40000000	0
F9-R2	NO_R1_FACTOR	1	9	108980	282181	40000000	0
F9-R2	NO_R1_NO_R2	1	9	105962	278793	40000000	0
F9-R2	NO_R2_CANON	1	9	106980	262163	40000000	0
F9-R2	DEFAULT	1	10	105610	276738	40000000	0
F9-R2	NO_R1_FACTOR	1	10	105517	279053	40000000	0
F9-R2	NO_R1_NO_R2	1	10	106610	273219	40000000	0
F9-R2	NO_R2_CANON	1	10	106351	265682	40000000	0
F9-R2	DEFAULT	1	11	107332	264700	40000000	0
F9-R2	NO_R1_FACTOR	1	11	106869	271571	40000000	0
F9-R2	NO_R1_NO_R2	1	11	105721	276349	40000000	0
F9-R2	NO_R2_CANON	1	11	106925	273126	40000000	0
F9-R2	DEFAULT	1	12	106943	261367	40000000	0
F9-R2	NO_R1_FACTOR	1	12	106444	282422	40000000	0
F9-R2	NO_R1_NO_R2	1	12	108184	278978	40000000	0
F9-R2	NO_R2_CANON	1	12	105276	275459	40000000	0
F9-R2	DEFAULT	1	13	105906	271367	40000000	0
F9-R2	NO_R1_FACTOR	1	13	107924	279923	40000000	0
F9-R2	NO_R1_NO_R2	1	13	108350	281923	40000000	0
F9-R2	NO_R2_CANON	1	13	107480	274978	40000000	0
F9-R2	DEFAULT	1	14	105702	271756	40000000	0
F9-R2	NO_R1_FACTOR	1	14	106350	273830	40000000	0
F9-R2	NO_R1_NO_R2	1	14	106462	278478	40000000	0
F9-R2	NO_R2_CANON	1	14	107166	285404	40000000	0
F9-R2	DEFAULT	1	15	107887	262571	40000000	0
F9-R2	NO_R1_FACTOR	1	15	105943	275664	40000000	0
F9-R2	NO_R1_NO_R2	1	15	106147	277737	40000000	0
F9-R2	NO_R2_CANON	1	15	106073	273385	40000000	0
F9-R2	DEFAULT	1	16	107721	350199	40000000	0
F9-R2	NO_R1_FACTOR	1	16	107647	279995	40000000	0
F9-R2	NO_R1_NO_R2	1	16	107646	266885	40000000	0
F9-R2	NO_R2_CANON	1	16	106072	263847	40000000	0
F9-R2	DEFAULT	1	17	106869	284256	40000000	0
F9-R2	NO_R1_FACTOR	1	17	105425	277071	40000000	0
F9-R2	NO_R1_NO_R2	1	17	105980	266830	40000000	0
F9-R2	NO_R2_CANON	1	17	106536	275089	40000000	0
F9-R2	DEFAULT	1	18	105573	270756	40000000	0
F9-R2	NO_R1_FACTOR	1	18	106832	265776	40000000	0
F9-R2	NO_R1_NO_R2	1	18	107684	284812	40000000	0
F9-R2	NO_R2_CANON	1	18	106184	277497	40000000	0
F9-R2	DEFAULT	1	19	107350	269681	40000000	0
F9-R2	NO_R1_FACTOR	1	19	107480	284422	40000000	0
F9-R2	NO_R1_NO_R2	1	19	107277	277645	40000000	0
F9-R2	NO_R2_CANON	1	19	106406	276497	40000000	0
F9-R2	DEFAULT	1	20	105925	268793	40000000	0
F9-R2	NO_R1_FACTOR	1	20	106407	278071	40000000	0
F9-R2	NO_R1_NO_R2	1	20	105443	274682	40000000	0
F9-R2	NO_R2_CANON	1	20	106313	282330	40000000	0
F9-R2	DEFAULT	2	1	259904	512882	40000000	0
F9-R2	NO_R1_FACTOR	2	1	258089	452050	40000000	0
F9-R2	NO_R1_NO_R2	2	1	258552	478476	40000000	0
F9-R2	NO_R2_CANON	2	1	260626	455346	40000000	0
F9-R2	DEFAULT	2	2	261515	483457	40000000	0
F9-R2	NO_R1_FACTOR	2	2	257848	440068	40000000	0
F9-R2	NO_R1_NO_R2	2	2	259590	454698	40000000	0
F9-R2	NO_R2_CANON	2	2	259034	452606	40000000	0
F9-R2	DEFAULT	2	3	260923	455643	40000000	0
F9-R2	NO_R1_FACTOR	2	3	259368	456976	40000000	0
F9-R2	NO_R1_NO_R2	2	3	258424	505958	40000000	0
F9-R2	NO_R2_CANON	2	3	259719	481773	40000000	0
F9-R2	DEFAULT	2	4	258349	419736	40000000	0
F9-R2	NO_R1_FACTOR	2	4	257608	531623	40000000	0
F9-R2	NO_R1_NO_R2	2	4	255182	435939	40000000	0
F9-R2	NO_R2_CANON	2	4	257552	473587	40000000	0
F9-R2	DEFAULT	2	5	255701	567809	40000000	0
F9-R2	NO_R1_FACTOR	2	5	257645	441031	40000000	0
F9-R2	NO_R1_NO_R2	2	5	257293	441106	40000000	0
F9-R2	NO_R2_CANON	2	5	259441	462902	40000000	0
F9-R2	DEFAULT	2	6	259941	471550	40000000	0
F9-R2	NO_R1_FACTOR	2	6	259867	455309	40000000	0
F9-R2	NO_R1_NO_R2	2	6	257034	467846	40000000	0
F9-R2	NO_R2_CANON	2	6	260145	583956	40000000	0
F9-R2	DEFAULT	2	7	257071	453680	40000000	0
F9-R2	NO_R1_FACTOR	2	7	258496	516050	40000000	0
F9-R2	NO_R1_NO_R2	2	7	255367	448125	40000000	0
F9-R2	NO_R2_CANON	2	7	257219	483457	40000000	0
F9-R2	DEFAULT	2	8	257794	500014	40000000	0
F9-R2	NO_R1_FACTOR	2	8	258497	518754	40000000	0
F9-R2	NO_R1_NO_R2	2	8	257757	462347	40000000	0
F9-R2	NO_R2_CANON	2	8	251979	459347	40000000	0
F9-R2	DEFAULT	2	9	257682	486660	40000000	0
F9-R2	NO_R1_FACTOR	2	9	259849	471531	40000000	0
F9-R2	NO_R1_NO_R2	2	9	254145	443606	40000000	0
F9-R2	NO_R2_CANON	2	9	259404	466494	40000000	0
F9-R2	DEFAULT	2	10	255515	475346	40000000	0
