=== podejscie 1, 2026-08-14 17:29:52 CEST ===
[001/480] F9-R2 b=1 q=1 NO_R2_CANON p99=288515 ns
[002/480] F9-R2 b=1 q=1 NO_R1_FACTOR p99=257738 ns
[003/480] F9-R2 b=1 q=1 NO_R1_NO_R2 p99=168016 ns
[004/480] F9-R2 b=1 q=1 DEFAULT p99=166017 ns
[005/480] F9-R2 b=1 q=2 NO_R1_FACTOR p99=370738 ns
[006/480] F9-R2 b=1 q=2 NO_R1_NO_R2 p99=356200 ns
[007/480] F9-R2 b=1 q=2 DEFAULT p99=329757 ns
[008/480] F9-R2 b=1 q=2 NO_R2_CANON p99=316775 ns
[009/480] F9-R2 b=1 q=4 NO_R2_CANON p99=634549 ns
[010/480] F9-R2 b=1 q=4 NO_R1_FACTOR p99=542402 ns
[011/480] F9-R2 b=1 q=4 NO_R1_NO_R2 p99=621419 ns
[012/480] F9-R2 b=1 q=4 DEFAULT p99=547272 ns
[013/480] F9-R2 b=1 q=8 NO_R1_NO_R2 p99=1050749 ns
[014/480] F9-R2 b=1 q=8 NO_R2_CANON p99=1053044 ns
[015/480] F9-R2 b=1 q=8 NO_R1_FACTOR p99=982304 ns
[016/480] F9-R2 b=1 q=8 DEFAULT p99=972009 ns
[017/480] F9-R2 b=1 q=16 NO_R1_FACTOR p99=2005868 ns
[018/480] F9-R2 b=1 q=16 NO_R1_NO_R2 p99=1823222 ns
[019/480] F9-R2 b=1 q=16 DEFAULT p99=1801907 ns
[020/480] F9-R2 b=1 q=16 NO_R2_CANON p99=1871961 ns
[021/480] F9-R2 b=1 q=32 NO_R1_NO_R2 p99=3644594 ns
[022/480] F9-R2 b=1 q=32 DEFAULT p99=3471083 ns
[023/480] F9-R2 b=1 q=32 NO_R2_CANON p99=3533972 ns
[024/480] F9-R2 b=1 q=32 NO_R1_FACTOR p99=3397827 ns
[025/480] F9-R2 b=2 q=1 NO_R1_NO_R2 p99=166646 ns
[026/480] F9-R2 b=2 q=1 NO_R1_FACTOR p99=160999 ns
[027/480] F9-R2 b=2 q=1 DEFAULT p99=173202 ns
[028/480] F9-R2 b=2 q=1 NO_R2_CANON p99=163702 ns
[029/480] F9-R2 b=2 q=2 NO_R1_NO_R2 p99=325496 ns
[030/480] F9-R2 b=2 q=2 NO_R2_CANON p99=360515 ns
[031/480] F9-R2 b=2 q=2 DEFAULT p99=434995 ns
[032/480] F9-R2 b=2 q=2 NO_R1_FACTOR p99=327034 ns
[033/480] F9-R2 b=2 q=4 NO_R2_CANON p99=634381 ns
[034/480] F9-R2 b=2 q=4 NO_R1_NO_R2 p99=639141 ns
[035/480] F9-R2 b=2 q=4 NO_R1_FACTOR p99=584160 ns
[036/480] F9-R2 b=2 q=4 DEFAULT p99=545198 ns
[037/480] F9-R2 b=2 q=8 NO_R2_CANON p99=1076859 ns
[038/480] F9-R2 b=2 q=8 NO_R1_NO_R2 p99=1047731 ns
[039/480] F9-R2 b=2 q=8 DEFAULT p99=1172249 ns
[040/480] F9-R2 b=2 q=8 NO_R1_FACTOR p99=964268 ns
[041/480] F9-R2 b=2 q=16 NO_R1_NO_R2 p99=1831778 ns
[042/480] F9-R2 b=2 q=16 NO_R1_FACTOR p99=1830500 ns
[043/480] F9-R2 b=2 q=16 NO_R2_CANON p99=2329253 ns
[044/480] F9-R2 b=2 q=16 DEFAULT p99=1741130 ns
[045/480] F9-R2 b=2 q=32 NO_R1_FACTOR p99=3387353 ns
[046/480] F9-R2 b=2 q=32 DEFAULT p99=3750145 ns
[047/480] F9-R2 b=2 q=32 NO_R2_CANON p99=3587109 ns
[048/480] F9-R2 b=2 q=32 NO_R1_NO_R2 p99=3486629 ns
[049/480] F9-R2 b=3 q=1 NO_R1_NO_R2 p99=271831 ns
[050/480] F9-R2 b=3 q=1 NO_R2_CANON p99=171609 ns
[051/480] F9-R2 b=3 q=1 DEFAULT p99=168146 ns
[052/480] F9-R2 b=3 q=1 NO_R1_FACTOR p99=168480 ns
[053/480] F9-R2 b=3 q=2 DEFAULT p99=337756 ns
[054/480] F9-R2 b=3 q=2 NO_R1_FACTOR p99=355922 ns
[055/480] F9-R2 b=3 q=2 NO_R2_CANON p99=326973 ns
[056/480] F9-R2 b=3 q=2 NO_R1_NO_R2 p99=322826 ns
[057/480] F9-R2 b=3 q=4 NO_R1_FACTOR p99=558376 ns
[058/480] F9-R2 b=3 q=4 NO_R2_CANON p99=652135 ns
[059/480] F9-R2 b=3 q=4 NO_R1_NO_R2 p99=639933 ns
[060/480] F9-R2 b=3 q=4 DEFAULT p99=514232 ns
[061/480] F9-R2 b=3 q=8 NO_R1_NO_R2 p99=1160147 ns
[062/480] F9-R2 b=3 q=8 DEFAULT p99=932689 ns
[063/480] F9-R2 b=3 q=8 NO_R2_CANON p99=1037743 ns
[064/480] F9-R2 b=3 q=8 NO_R1_FACTOR p99=964800 ns
[065/480] F9-R2 b=3 q=16 NO_R2_CANON p99=1894565 ns
[066/480] F9-R2 b=3 q=16 DEFAULT p99=1792900 ns
[067/480] F9-R2 b=3 q=16 NO_R1_NO_R2 p99=1886491 ns
[068/480] F9-R2 b=3 q=16 NO_R1_FACTOR p99=1779826 ns
[069/480] F9-R2 b=3 q=32 NO_R1_NO_R2 p99=3518246 ns
[070/480] F9-R2 b=3 q=32 DEFAULT p99=3414951 ns
[071/480] F9-R2 b=3 q=32 NO_R1_FACTOR p99=3538025 ns
[072/480] F9-R2 b=3 q=32 NO_R2_CANON p99=3502276 ns
[073/480] F9-R2 b=4 q=1 NO_R1_FACTOR p99=250332 ns
[074/480] F9-R2 b=4 q=1 NO_R1_NO_R2 p99=167888 ns
[075/480] F9-R2 b=4 q=1 NO_R2_CANON p99=161073 ns
[076/480] F9-R2 b=4 q=1 DEFAULT p99=157517 ns
[077/480] F9-R2 b=4 q=2 DEFAULT p99=315331 ns
[078/480] F9-R2 b=4 q=2 NO_R1_NO_R2 p99=391034 ns
[079/480] F9-R2 b=4 q=2 NO_R2_CANON p99=372885 ns
[080/480] F9-R2 b=4 q=2 NO_R1_FACTOR p99=337737 ns
[081/480] F9-R2 b=4 q=4 NO_R1_FACTOR p99=592920 ns
[082/480] F9-R2 b=4 q=4 NO_R2_CANON p99=648789 ns
[083/480] F9-R2 b=4 q=4 NO_R1_NO_R2 p99=617216 ns
[084/480] F9-R2 b=4 q=4 DEFAULT p99=530253 ns
[085/480] F9-R2 b=4 q=8 DEFAULT p99=970618 ns
[086/480] F9-R2 b=4 q=8 NO_R1_FACTOR p99=987137 ns
[087/480] F9-R2 b=4 q=8 NO_R2_CANON p99=1053007 ns
[088/480] F9-R2 b=4 q=8 NO_R1_NO_R2 p99=1051136 ns
[089/480] F9-R2 b=4 q=16 NO_R1_FACTOR p99=1812211 ns
[090/480] F9-R2 b=4 q=16 NO_R1_NO_R2 p99=1839620 ns
[091/480] F9-R2 b=4 q=16 DEFAULT p99=1805714 ns
[092/480] F9-R2 b=4 q=16 NO_R2_CANON p99=1886639 ns
[093/480] F9-R2 b=4 q=32 NO_R1_FACTOR p99=3412397 ns
[094/480] F9-R2 b=4 q=32 NO_R2_CANON p99=3577099 ns
[095/480] F9-R2 b=4 q=32 NO_R1_NO_R2 p99=3586822 ns
[096/480] F9-R2 b=4 q=32 DEFAULT p99=3421640 ns
[097/480] F9-R2 b=5 q=1 NO_R1_FACTOR p99=164479 ns
[098/480] F9-R2 b=5 q=1 DEFAULT p99=261311 ns
[099/480] F9-R2 b=5 q=1 NO_R1_NO_R2 p99=164035 ns
[100/480] F9-R2 b=5 q=1 NO_R2_CANON p99=156072 ns
[101/480] F9-R2 b=5 q=2 NO_R1_FACTOR p99=441772 ns
[102/480] F9-R2 b=5 q=2 NO_R2_CANON p99=342107 ns
[103/480] F9-R2 b=5 q=2 NO_R1_NO_R2 p99=393254 ns
[104/480] F9-R2 b=5 q=2 DEFAULT p99=342181 ns
[105/480] F9-R2 b=5 q=4 NO_R1_FACTOR p99=559678 ns
[106/480] F9-R2 b=5 q=4 DEFAULT p99=552235 ns
[107/480] F9-R2 b=5 q=4 NO_R2_CANON p99=619030 ns
[108/480] F9-R2 b=5 q=4 NO_R1_NO_R2 p99=615567 ns
[109/480] F9-R2 b=5 q=8 NO_R2_CANON p99=1032951 ns
[110/480] F9-R2 b=5 q=8 DEFAULT p99=972415 ns
[111/480] F9-R2 b=5 q=8 NO_R1_FACTOR p99=979192 ns
[112/480] F9-R2 b=5 q=8 NO_R1_NO_R2 p99=1010173 ns
[113/480] F9-R2 b=5 q=16 DEFAULT p99=1802645 ns
[114/480] F9-R2 b=5 q=16 NO_R1_FACTOR p99=1750905 ns
[115/480] F9-R2 b=5 q=16 NO_R1_NO_R2 p99=1895736 ns
[116/480] F9-R2 b=5 q=16 NO_R2_CANON p99=1927476 ns
[117/480] F9-R2 b=5 q=32 DEFAULT p99=3482883 ns
[118/480] F9-R2 b=5 q=32 NO_R1_FACTOR p99=3479217 ns
[119/480] F9-R2 b=5 q=32 NO_R1_NO_R2 p99=3464791 ns
[120/480] F9-R2 b=5 q=32 NO_R2_CANON p99=3496975 ns
[121/480] F9-R2 b=6 q=1 NO_R2_CANON p99=172887 ns
[122/480] F9-R2 b=6 q=1 NO_R1_FACTOR p99=169702 ns
[123/480] F9-R2 b=6 q=1 DEFAULT p99=178517 ns
[124/480] F9-R2 b=6 q=1 NO_R1_NO_R2 p99=172647 ns
[125/480] F9-R2 b=6 q=2 NO_R1_FACTOR p99=340477 ns
[126/480] F9-R2 b=6 q=2 NO_R1_NO_R2 p99=338774 ns
[127/480] F9-R2 b=6 q=2 DEFAULT p99=352274 ns
[128/480] F9-R2 b=6 q=2 NO_R2_CANON p99=318904 ns
[129/480] F9-R2 b=6 q=4 NO_R1_NO_R2 p99=646363 ns
[130/480] F9-R2 b=6 q=4 NO_R2_CANON p99=627808 ns
[131/480] F9-R2 b=6 q=4 NO_R1_FACTOR p99=558937 ns
[132/480] F9-R2 b=6 q=4 DEFAULT p99=552345 ns
[133/480] F9-R2 b=6 q=8 NO_R1_FACTOR p99=949822 ns
[134/480] F9-R2 b=6 q=8 NO_R1_NO_R2 p99=1051765 ns
[135/480] F9-R2 b=6 q=8 DEFAULT p99=981674 ns
[136/480] F9-R2 b=6 q=8 NO_R2_CANON p99=1059561 ns
[137/480] F9-R2 b=6 q=16 NO_R2_CANON p99=1818219 ns
[138/480] F9-R2 b=6 q=16 NO_R1_FACTOR p99=1767349 ns
[139/480] F9-R2 b=6 q=16 DEFAULT p99=1818645 ns
[140/480] F9-R2 b=6 q=16 NO_R1_NO_R2 p99=1857327 ns
[141/480] F9-R2 b=6 q=32 NO_R1_NO_R2 p99=3578176 ns
[142/480] F9-R2 b=6 q=32 DEFAULT p99=3433031 ns
[143/480] F9-R2 b=6 q=32 NO_R2_CANON p99=3574289 ns
[144/480] F9-R2 b=6 q=32 NO_R1_FACTOR p99=3452567 ns
[145/480] F9-R2 b=7 q=1 NO_R1_NO_R2 p99=164072 ns
[146/480] F9-R2 b=7 q=1 DEFAULT p99=168053 ns
[147/480] F9-R2 b=7 q=1 NO_R2_CANON p99=166128 ns
[148/480] F9-R2 b=7 q=1 NO_R1_FACTOR p99=171869 ns
[149/480] F9-R2 b=7 q=2 NO_R1_FACTOR p99=360700 ns
[150/480] F9-R2 b=7 q=2 NO_R1_NO_R2 p99=334755 ns
[151/480] F9-R2 b=7 q=2 DEFAULT p99=341533 ns
[152/480] F9-R2 b=7 q=2 NO_R2_CANON p99=335811 ns
