=== podejscie 1, 2026-08-16 01:52:58 CEST ===
[001/480] F9-X b=1 q=1 NO_R2_CANON p99=432589 ns
[002/480] F9-X b=1 q=1 DEFAULT p99=413885 ns
[003/480] F9-X b=1 q=1 NO_R1_NO_R2 p99=532569 ns
[004/480] F9-X b=1 q=1 NO_R1_FACTOR p99=549106 ns
[005/480] F9-X b=1 q=2 NO_R1_FACTOR p99=691162 ns
[006/480] F9-X b=1 q=2 NO_R1_NO_R2 p99=685606 ns
[007/480] F9-X b=1 q=2 DEFAULT p99=603495 ns
[008/480] F9-X b=1 q=2 NO_R2_CANON p99=612587 ns
[009/480] F9-X b=1 q=4 NO_R2_CANON p99=844160 ns
[010/480] F9-X b=1 q=4 NO_R1_FACTOR p99=1242082 ns
[011/480] F9-X b=1 q=4 NO_R1_NO_R2 p99=1223268 ns
[012/480] F9-X b=1 q=4 DEFAULT p99=786493 ns
[013/480] F9-X b=1 q=8 NO_R1_FACTOR p99=1625209 ns
[014/480] F9-X b=1 q=8 DEFAULT p99=1127694 ns
[015/480] F9-X b=1 q=8 NO_R1_NO_R2 p99=1772948 ns
[016/480] F9-X b=1 q=8 NO_R2_CANON p99=1265378 ns
[017/480] F9-X b=1 q=16 NO_R1_FACTOR p99=2338943 ns
[018/480] F9-X b=1 q=16 NO_R1_NO_R2 p99=2581274 ns
[019/480] F9-X b=1 q=16 NO_R2_CANON p99=2060705 ns
[020/480] F9-X b=1 q=16 DEFAULT p99=2010020 ns
[021/480] F9-X b=1 q=32 NO_R1_FACTOR p99=4022800 ns
[022/480] F9-X b=1 q=32 NO_R2_CANON p99=3781116 ns
[023/480] F9-X b=1 q=32 NO_R1_NO_R2 p99=4215723 ns
[024/480] F9-X b=1 q=32 DEFAULT p99=3541822 ns
[025/480] F9-X b=2 q=1 NO_R1_NO_R2 p99=530866 ns
[026/480] F9-X b=2 q=1 NO_R1_FACTOR p99=531439 ns
[027/480] F9-X b=2 q=1 DEFAULT p99=414386 ns
[028/480] F9-X b=2 q=1 NO_R2_CANON p99=424274 ns
[029/480] F9-X b=2 q=2 NO_R1_NO_R2 p99=692494 ns
[030/480] F9-X b=2 q=2 NO_R2_CANON p99=601236 ns
[031/480] F9-X b=2 q=2 DEFAULT p99=599347 ns
