family	system	profile	q	instances	stream_selects	substrates	r1	r2	substrate_bytes	public_appends	work_costly_evals	work_hash_picks	work_add_merges
F9-R2	FLINK	MANUAL	1	1	0	1	0	0	27000	3000	3000	0	3000
F9-R2	FLINK	NATURAL	1	1	0	1	0	0	27000	3000	3000	0	3000
F9-R2	RDB	DEFAULT	1	0	0	0	0	0	0	2999	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	1	0	0	0	0	0	0	2999	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	1	0	0	0	0	0	0	2999	2999	0	2999
F9-R2	RDB	NO_R2_CANON	1	0	0	0	0	0	0	2999	2999	0	2999
F9-R2	FLINK	MANUAL	2	1	0	1	0	0	27000	6000	3000	0	3000
F9-R2	FLINK	NATURAL	2	2	0	2	0	0	54000	6000	6000	0	6000
F9-R2	RDB	DEFAULT	2	1	1	1	0	0	26991	5998	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	2	1	1	1	0	0	26991	5998	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	2	1	1	1	0	0	26991	5998	2999	0	2999
F9-R2	RDB	NO_R2_CANON	2	1	1	1	0	0	26991	5998	2999	0	2999
F9-R2	FLINK	MANUAL	4	1	0	1	0	0	27000	12000	3000	0	3000
F9-R2	FLINK	NATURAL	4	4	0	4	0	0	108000	12000	12000	0	12000
F9-R2	RDB	DEFAULT	4	1	1	1	0	2	26991	11996	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	4	1	1	1	0	2	26991	11996	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	4	2	2	2	0	0	53982	11996	5998	0	5998
F9-R2	RDB	NO_R2_CANON	4	2	2	2	0	0	53982	11996	5998	0	5998
F9-R2	FLINK	MANUAL	8	1	0	1	0	0	27000	24000	3000	0	3000
F9-R2	FLINK	NATURAL	8	8	0	8	0	0	216000	24000	24000	0	24000
F9-R2	RDB	DEFAULT	8	1	1	1	0	4	26991	23992	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	8	1	1	1	0	4	26991	23992	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	8	2	2	2	0	0	53982	23992	5998	0	5998
F9-R2	RDB	NO_R2_CANON	8	2	2	2	0	0	53982	23992	5998	0	5998
F9-R2	FLINK	MANUAL	16	1	0	1	0	0	27000	48000	3000	0	3000
F9-R2	FLINK	NATURAL	16	16	0	16	0	0	432000	48000	48000	0	48000
F9-R2	RDB	DEFAULT	16	1	1	1	0	8	26991	47984	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	16	1	1	1	0	8	26991	47984	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	16	2	2	2	0	0	53982	47984	5998	0	5998
F9-R2	RDB	NO_R2_CANON	16	2	2	2	0	0	53982	47984	5998	0	5998
F9-R2	FLINK	MANUAL	32	1	0	1	0	0	27000	96000	3000	0	3000
F9-R2	FLINK	NATURAL	32	32	0	32	0	0	864000	96000	96000	0	96000
F9-R2	RDB	DEFAULT	32	1	1	1	0	16	26991	95968	2999	0	2999
F9-R2	RDB	NO_R1_FACTOR	32	1	1	1	0	16	26991	95968	2999	0	2999
F9-R2	RDB	NO_R1_NO_R2	32	2	2	2	0	0	53982	95968	5998	0	5998
F9-R2	RDB	NO_R2_CANON	32	2	2	2	0	0	53982	95968	5998	0	5998
F9-R1	FLINK	MANUAL	1	1	0	1	0	0	40500	4500	4500	4500	0
F9-R1	FLINK	NATURAL	1	2	0	2	0	0	40500	4500	4500	4500	0
F9-R1	RDB	DEFAULT	1	1	0	1	1	0	40473	4496	4496	4497	0
F9-R1	RDB	NO_R1_FACTOR	1	2	0	2	0	0	40455	4494	4494	4494	0
F9-R1	RDB	NO_R1_NO_R2	1	2	0	2	0	0	40455	4494	4494	4494	0
F9-R1	RDB	NO_R2_CANON	1	1	0	1	1	0	40473	4496	4496	4497	0
F9-R1	FLINK	MANUAL	2	1	0	1	0	0	40500	9000	9000	4500	0
F9-R1	FLINK	NATURAL	2	4	0	4	0	0	81000	9000	9000	9000	0
F9-R1	RDB	DEFAULT	2	1	0	1	2	0	40473	8992	8992	4497	0
F9-R1	RDB	NO_R1_FACTOR	2	2	0	2	0	0	40455	8988	8988	8988	0
F9-R1	RDB	NO_R1_NO_R2	2	2	0	2	0	0	40455	8988	8988	8988	0
F9-R1	RDB	NO_R2_CANON	2	1	0	1	2	0	40473	8992	8992	4497	0
F9-R1	FLINK	MANUAL	4	1	0	1	0	0	40500	18000	18000	4500	0
F9-R1	FLINK	NATURAL	4	6	0	6	0	0	162000	18000	18000	18000	0
F9-R1	RDB	DEFAULT	4	1	0	1	2	0	40473	17984	17984	4497	0
F9-R1	RDB	NO_R1_FACTOR	4	3	0	3	0	0	80928	17980	17980	13485	0
F9-R1	RDB	NO_R1_NO_R2	4	3	0	3	0	0	80928	17980	17980	13485	0
F9-R1	RDB	NO_R2_CANON	4	1	0	1	2	0	40473	17984	17984	4497	0
F9-R1	FLINK	MANUAL	8	1	0	1	0	0	40500	36000	36000	4500	0
F9-R1	FLINK	NATURAL	8	12	0	12	0	0	324000	36000	36000	36000	0
F9-R1	RDB	DEFAULT	8	1	0	1	4	0	40473	35968	35968	4497	0
F9-R1	RDB	NO_R1_FACTOR	8	3	0	3	0	0	80928	35960	35960	22473	0
F9-R1	RDB	NO_R1_NO_R2	8	3	0	3	0	0	80928	35960	35960	22473	0
F9-R1	RDB	NO_R2_CANON	8	1	0	1	4	0	40473	35968	35968	4497	0
F9-R1	FLINK	MANUAL	16	1	0	1	0	0	40500	72000	72000	4500	0
F9-R1	FLINK	NATURAL	16	24	0	24	0	0	648000	72000	72000	72000	0
F9-R1	RDB	DEFAULT	16	1	0	1	8	0	40473	71936	71936	4497	0
F9-R1	RDB	NO_R1_FACTOR	16	3	0	3	0	0	80928	71920	71920	40449	0
F9-R1	RDB	NO_R1_NO_R2	16	3	0	3	0	0	80928	71920	71920	40449	0
F9-R1	RDB	NO_R2_CANON	16	1	0	1	8	0	40473	71936	71936	4497	0
F9-R1	FLINK	MANUAL	32	1	0	1	0	0	40500	144000	144000	4500	0
F9-R1	FLINK	NATURAL	32	48	0	48	0	0	1296000	144000	144000	144000	0
F9-R1	RDB	DEFAULT	32	1	0	1	16	0	40473	143872	143872	4497	0
F9-R1	RDB	NO_R1_FACTOR	32	3	0	3	0	0	80928	143840	143840	76401	0
F9-R1	RDB	NO_R1_NO_R2	32	3	0	3	0	0	80928	143840	143840	76401	0
F9-R1	RDB	NO_R2_CANON	32	1	0	1	16	0	40473	143872	143872	4497	0
F9-X	FLINK	MANUAL	1	5	0	5	0	0	202500	4500	4500	9000	4500
F9-X	FLINK	NATURAL	1	6	0	6	0	0	162000	4500	4500	9000	4500
F9-X	RDB	DEFAULT	1	0	0	4	2	0	161874	4496	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	1	0	0	6	0	0	161802	4494	4494	8988	4494
F9-X	RDB	NO_R1_NO_R2	1	0	0	6	0	0	161802	4494	4494	8988	4494
F9-X	RDB	NO_R2_CANON	1	0	0	4	2	0	161874	4496	4496	8994	4496
F9-X	FLINK	MANUAL	2	5	0	5	0	0	202500	9000	4500	9000	4500
F9-X	FLINK	NATURAL	2	12	0	12	0	0	324000	9000	9000	18000	9000
F9-X	RDB	DEFAULT	2	1	1	5	2	0	202338	8992	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	2	1	1	7	0	0	202248	8988	4494	8988	4494
F9-X	RDB	NO_R1_NO_R2	2	1	1	7	0	0	202248	8988	4494	8988	4494
F9-X	RDB	NO_R2_CANON	2	1	1	5	2	0	202338	8992	4496	8994	4496
F9-X	FLINK	MANUAL	4	5	0	5	0	0	202500	18000	4500	9000	4500
F9-X	FLINK	NATURAL	4	20	0	20	0	0	648000	18000	18000	36000	18000
F9-X	RDB	DEFAULT	4	1	1	5	2	2	202338	17984	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	4	2	2	12	0	2	404586	17980	8990	17982	8990
F9-X	RDB	NO_R1_NO_R2	4	2	2	12	0	0	404586	17980	8990	17982	8990
F9-X	RDB	NO_R2_CANON	4	2	2	6	2	0	242802	17984	8992	8994	8992
F9-X	FLINK	MANUAL	8	5	0	5	0	0	202500	36000	4500	9000	4500
F9-X	FLINK	NATURAL	8	40	0	40	0	0	1296000	36000	36000	72000	36000
F9-X	RDB	DEFAULT	8	1	1	5	2	4	202338	35968	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	8	2	2	12	0	4	404586	35960	8990	17982	8990
F9-X	RDB	NO_R1_NO_R2	8	4	4	14	0	0	485496	35960	17980	17982	17980
F9-X	RDB	NO_R2_CANON	8	2	2	6	2	0	242802	35968	8992	8994	8992
F9-X	FLINK	MANUAL	16	5	0	5	0	0	202500	72000	4500	9000	4500
F9-X	FLINK	NATURAL	16	80	0	80	0	0	2592000	72000	72000	144000	72000
F9-X	RDB	DEFAULT	16	1	1	5	2	8	202338	71936	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	16	2	2	12	0	8	404586	71920	8990	17982	8990
F9-X	RDB	NO_R1_NO_R2	16	4	4	14	0	0	485496	71920	17980	17982	17980
F9-X	RDB	NO_R2_CANON	16	2	2	6	2	0	242802	71936	8992	8994	8992
F9-X	FLINK	MANUAL	32	5	0	5	0	0	202500	144000	4500	9000	4500
F9-X	FLINK	NATURAL	32	160	0	160	0	0	5184000	144000	144000	288000	144000
F9-X	RDB	DEFAULT	32	1	1	5	2	16	202338	143872	4496	8994	4496
F9-X	RDB	NO_R1_FACTOR	32	2	2	12	0	16	404586	143840	8990	17982	8990
F9-X	RDB	NO_R1_NO_R2	32	4	4	14	0	0	485496	143840	17980	17982	17980
F9-X	RDB	NO_R2_CANON	32	2	2	6	2	0	242802	143872	8992	8994	8992
