node_id	operator	parallelism	role	inputs
1	Source: SRC:A	1	ingress_poza_metryka	-
2	Source: SRC:B	1	ingress_poza_metryka	-
3	Source: SRC:C	1	ingress_poza_metryka	-
4	Source: SRC:D	1	ingress_poza_metryka	-
5	SUB:m1:shift_A	1	badany_podplan	1
6	SUB:m1:shift_B	1	badany_podplan	2
7	SUB:m1:hash_AB	1	badany_podplan	5,6
8	SUB:m1:shift_C	1	badany_podplan	3
9	SUB:m1:shift_D	1	badany_podplan	4
10	SUB:m1:hash_CD	1	badany_podplan	8,9
11	PUB:m1_W1	1	publiczny_monitor	7,10
12	Sink: SINK:m1	1	sink_poza_metryka	11
