iter,compute_ns,wake_lag_ns,e2e_ns
0,332644,20420,374749
1,204257,20236,236752
2,193460,20181,224179
3,189813,20182,219957
4,190239,19788,219304
5,187646,19974,216971
6,188387,20160,217657
7,187146,20624,216825
8,187757,20606,216808
9,186331,19953,214746
10,187294,19842,215562
11,187553,20547,216785
12,204831,20678,236323
13,185368,19987,213762
14,189294,20321,217893
15,189016,20489,218709
16,191794,20249,221432
17,186534,19787,214544
18,187479,19893,215631
19,186572,19820,215132
20,186294,19987,214800
21,187776,20062,216412
22,187405,19779,216036
23,185757,19817,214666
24,185942,19947,213741
25,464717,19800,492869
26,404458,20116,433167
27,400477,20185,429809
28,395884,20334,424699
29,395644,20094,423885
30,637326,19817,665735
31,614734,19923,644100
32,613660,20238,642824
33,608011,20165,637362
34,608548,20444,637677
35,605807,20056,634290
36,604641,21088,634210
37,607492,20626,636878
38,606807,20423,636397
39,606363,20091,634917
40,606697,20678,636115
41,606492,21290,636893
42,603937,20143,632339
43,605030,19866,633044
44,605178,19811,634248
45,608882,20028,637761
46,608085,21547,638188
47,607900,20048,636745
48,606233,19827,634894
49,605159,24007,638370
50,613455,20156,642408
51,612604,20286,642038
52,608585,19954,637317
53,608900,20325,637744
54,608381,20894,637998
55,611733,19950,640573
56,609197,20137,637759
57,608419,20434,637315
58,606493,20002,635810
59,607270,20818,636903
60,926008,20412,955474
61,873471,20135,903550
62,862915,20025,891607
63,859378,22908,891231
64,856952,20316,885269
65,855860,19984,885177
66,870342,20152,899049
67,865694,23868,898821
68,861601,19943,889951
69,860452,20074,890156
70,861435,20112,890342
71,860342,19835,889769
72,861823,20904,890745
73,856583,20108,885987
74,858341,20017,887192
75,858657,20203,888230
76,859823,21994,890594
77,862342,19902,891521
78,861416,20384,890615
79,860563,19811,888986
80,859323,20479,888820
81,861490,21510,891759
82,859268,19900,887705
83,859452,20679,888928
84,858675,20069,887170
85,855989,20786,886016
86,859526,20416,889165
87,858527,20121,887722
88,855805,20011,884278
89,857267,20049,886520
90,859693,20710,889181
91,863397,19896,892126
92,863804,20490,893275
93,862786,19898,892369
94,862119,21615,892512
95,861064,20579,890494
96,858768,20061,887254
97,862305,20006,890829
98,857898,20081,886701
99,860860,20669,890251
100,858323,20077,886937
101,862397,20041,891104
102,859452,19968,888105
103,859286,21333,889692
