ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1785243958,0.45,277280,3598312,37972
1785243959,0.49,303140,3572452,38946
1785243960,0.49,302160,3573432,38946
1785243961,0.49,301696,3573644,38459
1785243962,0.49,301760,3573832,38459
1785243963,0.49,301612,3573728,39433
1785243964,0.61,301360,3573980,39433
1785243965,0.61,301028,3574672,38946
1785243966,0.61,300000,3575696,38946
1785243967,0.61,299108,3576588,40407
1785243968,0.72,297996,3577448,39920
1785243970,0.72,297612,3577980,39433
1785243971,0.72,297588,3578004,39433
1785243972,0.72,298144,3577448,39433
1785243973,0.72,297520,3577820,38946
1785243974,0.67,297004,3578840,39433
1785243975,0.67,296704,3579332,40407
1785243976,0.67,296960,3578632,38946
1785243977,0.67,296600,3578992,39433
1785243978,0.67,296384,3579208,39433
1785243979,0.61,296924,3579212,39433
1785243980,0.61,296768,3578824,39433
1785243981,0.61,296516,3579076,39433
1785243982,0.61,296580,3579012,39433
1785243983,0.61,296480,3579112,40894
1785243984,0.56,296324,3579268,39433
1785243985,0.56,296724,3578868,38946
1785243986,0.56,296800,3578792,39920
1785243987,0.56,296328,3579264,39920
1785243989,0.52,296176,3579328,40407
1785243990,0.52,297216,3578376,39920
1785243991,0.52,297148,3578444,40407
1785243992,0.52,297068,3578968,38946
1785243993,0.52,296608,3578984,39433
1785243994,0.64,296620,3578972,40407
1785243995,0.64,296896,3578696,39920
1785243996,0.64,297376,3578660,39920
1785243997,0.64,296788,3578804,39920
1785243998,0.64,296648,3579048,39920
1785243999,0.58,296652,3578940,39920
1785244000,0.58,296076,3579412,39920
1785244001,0.58,296424,3579168,40407
1785244002,0.58,296880,3578712,38946
1785244003,0.58,296768,3578572,40407
1785244004,0.70,296492,3578848,39920
1785244005,0.70,296864,3578728,39433
1785244006,0.70,296892,3579544,39433
1785244008,0.70,297076,3578664,39920
1785244009,0.80,296652,3578688,40894
1785244010,0.80,297356,3578236,40407
1785244011,0.80,297768,3577824,40407
1785244012,0.80,296284,3579308,40407
1785244013,0.80,296772,3579412,39920
1785244014,0.82,282508,3593084,40407
