iter,compute_ns,wake_lag_ns,e2e_ns
0,333901,20497,376749
1,202107,20270,234173
2,191700,20191,222428
3,189904,19872,219442
4,187570,19887,216587
5,187756,19920,217249
6,186811,19933,215911
7,186496,19929,215666
8,189293,20628,218568
9,186496,19995,214899
10,186256,19824,214394
11,186274,20541,215741
12,185459,19814,213959
13,187237,19848,215122
14,186330,20196,214414
15,186293,19932,215483
16,340123,23057,386031
17,268736,21941,307768
18,203921,20234,235582
19,194219,20211,224447
20,188107,20484,217369
21,202718,20794,232975
22,196441,20661,227435
23,192830,20638,222856
24,197441,20467,227796
25,476306,19999,505952
26,412103,20346,441597
27,402492,20788,433205
28,402677,20542,431904
29,399992,20519,429603
30,645487,20070,674186
31,610506,19993,639499
32,617321,20896,647364
33,620006,20298,649304
34,616562,20071,645355
35,647265,21326,680313
36,612562,21934,643181
37,615192,20152,644657
38,610859,20943,640486
39,617303,20216,646870
40,607395,21213,637590
41,603543,20079,632048
42,612747,19889,642210
43,616469,20329,646446
44,615210,20417,645126
45,605932,20173,635123
46,612765,21853,643341
47,621599,20312,651966
48,607062,20122,635758
49,609062,20211,637773
50,654820,21688,690823
51,618432,20109,648152
52,615728,20845,645722
53,610747,20322,639958
54,609210,20708,638770
55,608210,20074,636821
56,610117,20513,639853
57,609673,20416,638941
58,607247,24043,639604
59,612228,20057,641044
60,940074,20237,969607
61,890519,20621,921085
62,870649,20209,901506
63,861224,24891,894744
64,867575,20424,896795
65,882464,20363,913568
66,856520,20081,885675
67,856335,21633,886449
68,865334,20055,894371
69,855501,20272,884570
70,857279,20138,887009
71,856465,20096,885394
72,854779,23741,887557
73,853890,20200,882442
74,853705,19991,882511
75,853001,20005,881673
76,857891,20298,887688
77,855242,19960,883350
78,849649,20122,877938
79,850780,20618,879971
80,850668,20206,879966
81,851612,20036,880037
82,852575,20364,881125
83,849983,19823,878528
84,859668,20003,888634
85,860149,21963,891038
86,853927,20162,881663
87,852724,19954,881103
88,853335,20301,881839
89,852779,19926,881335
90,853965,20238,882813
91,855150,19974,883753
92,855538,20043,883637
93,855409,19835,883558
94,853853,20350,882111
95,856650,20123,886013
96,855871,20322,884768
97,854131,19984,882115
98,852594,19813,881444
99,855816,20162,884404
100,855835,20009,884492
101,851409,20041,880209
102,852631,20425,882093
103,856168,20145,884886
104,855631,20047,884363
105,854205,21006,883637
106,849853,20094,878206
107,856187,19978,884738
108,855372,22567,886680
109,851742,20007,880212
110,854853,20132,883171
111,851760,19998,880166
112,854075,20143,882533
113,852891,19916,881695
114,856964,20097,885820
115,851353,19981,879408
116,858001,20199,887015
117,850520,20862,880549
118,854965,19876,882933
119,851946,19872,880725
120,856465,19867,884646
121,851669,21271,881680
122,850705,19748,878694
123,854464,19984,883430
124,853539,20165,882259
125,859094,20623,888291
126,853483,21065,882714
127,860186,20005,888598
128,856446,20593,885909
129,853205,19903,881811
130,852316,20103,880938
131,853001,20303,881989
132,853872,19946,882188
133,851520,20090,880535
134,856612,19937,884883
135,854965,21841,885324
136,856371,19781,884467
137,854835,20239,883870
138,857834,20124,886569
139,851261,23713,883788
140,854761,19968,883228
141,856186,20000,885168
142,859075,20014,887830
143,857613,20065,885992
144,857927,23136,889656
145,857650,20002,886410
146,859149,20127,887628
147,857890,19974,886105
148,854335,22527,885157
149,859038,20059,887801
150,858038,20017,886148
151,859501,20365,888421
152,854446,19990,882732
153,860001,20098,888580
154,857131,20482,886150
155,859594,20070,888090
156,857575,19862,886104
157,859409,23451,891878
158,862131,19984,890059
159,852965,20053,881425
160,859594,20086,887976
161,855649,19859,884304
162,861353,21393,890931
163,856557,20055,884926
164,857539,19884,885514
165,856445,19860,884732
166,853242,22098,883655
167,853261,20019,881335
168,853390,20126,881831
169,855186,20288,883937
170,854131,20098,882673
171,853724,19965,882152
172,852298,20220,880647
173,852650,20067,880920
174,857927,20581,887175
175,854001,20837,884024
176,855482,19962,883797
177,853594,20513,882385
178,854779,19935,882954
179,861631,20134,890653
180,859761,21168,889299
181,857501,19848,885368
182,854113,20029,882660
183,853594,20024,882100
184,857668,19910,885985
185,856113,19943,884481
186,861390,19864,890013
187,851613,19989,880509
188,860539,20299,889059
189,860946,21185,890445
190,856354,19958,885478
191,861816,20046,890695
192,859223,20004,887950
193,862501,20501,891891
194,861038,19923,889813
195,859316,20011,887827
196,856853,20006,885192
197,862909,20557,892317
198,859483,20758,888611
199,859519,20198,888699
200,865408,20452,894398
201,858724,20040,887912
202,864631,20333,893279
203,858853,20421,888348
204,861149,19824,889510
205,855187,20005,883913
206,861519,19833,889779
207,859002,21182,889313
208,862298,19918,890679
209,857501,19914,886230
210,854113,19854,882336
211,853223,20110,882574
212,853816,20068,882180
213,853298,19989,881435
214,857909,20022,886227
215,860020,20091,889426
216,855280,21570,885478
217,857779,20065,886159
218,853687,19912,882025
219,855261,19908,883928
220,850502,20405,879869
221,858131,20011,886790
222,860649,20044,889174
223,864779,20669,894947
224,858724,20016,887406
225,856668,20698,886088
226,861482,20323,890232
227,853112,19874,881801
228,857556,19851,885908
229,853705,22033,884368
230,856020,19751,884418
231,856446,20042,885488
232,860501,19982,888872
233,856668,20496,886294
234,863020,22919,894550
235,864001,19877,892601
236,856649,20299,886040
237,859372,20461,888443
238,856279,21032,885533
239,865223,19916,893343
240,1392453,19985,1422235
241,1302307,20351,1331843
242,1297307,20254,1326487
243,1294956,21140,1325188
244,1297622,20283,1327202
245,1293160,20353,1322697
246,1300215,20774,1330377
247,1302696,21734,1333522
248,1302641,20229,1332240
249,1292807,20373,1322532
250,1287733,20054,1316953
251,1284992,20104,1313986
252,1291641,20879,1321186
253,1293919,20356,1323774
254,1293159,20166,1322307
255,1298437,20236,1327821
256,1292678,21214,1322484
257,1290808,20172,1320239
258,1291326,20427,1320142
259,1291492,20200,1320674
260,1285826,20622,1315133
261,1288511,20878,1318611
262,1286549,20058,1315532
263,1291215,19961,1319768
264,1295252,20586,1324690
265,1292919,20898,1322316
266,1287141,20338,1316330
267,1283270,20500,1312622
268,1280419,20069,1309192
269,1280715,20028,1309539
270,1287085,21710,1317332
271,1282271,19890,1310642
272,1282993,20034,1311601
273,1284085,19844,1312448
274,1286826,20915,1316185
275,1288826,20077,1318051
276,1287585,20110,1316435
277,1282066,20161,1310635
278,1288307,20212,1317204
279,1286141,21153,1315608
280,1286271,20019,1314567
281,1282808,19847,1311044
282,1282808,19935,1310928
283,1280641,20914,1309814
284,1280678,20131,1309217
285,1287511,20090,1316323
286,1278104,20196,1306652
287,1285678,20692,1314592
288,1283363,21263,1313163
289,1282567,20147,1311417
290,1284752,20828,1313728
291,1280640,19953,1308853
292,1284308,21005,1313886
293,1285918,20593,1315049
294,1287845,20070,1316470
295,1284697,20010,1313113
296,1284511,19950,1313090
297,1286085,20909,1315439
298,1282493,20053,1310786
299,1279548,19734,1307652
300,1279474,20081,1307814
301,1282808,21189,1312515
302,1278845,19925,1306992
303,1285289,20013,1313450
304,1285400,19897,1313649
305,1283308,20170,1311793
306,1280937,20760,1310308
307,1275530,20033,1303730
308,1291474,20195,1319836
309,1285326,20246,1313868
310,1279493,21299,1308884
311,1280345,20035,1308750
312,1282437,20752,1311801
313,1277937,20451,1306889
314,1278864,19928,1307199
315,1281548,21314,1311270
316,1282048,20717,1311598
317,1280715,20009,1309168
318,1278826,20041,1307293
319,1280104,21390,1309753
320,1278419,19811,1306693
321,1278141,19936,1306651
322,1280160,19858,1308721
323,1533784,22575,1573192
324,1475267,29313,1519523
325,1485100,23586,1528093
326,1569246,22970,1611124
327,1531191,21706,1571694
328,1427749,28666,1469526
329,1575691,21847,1621611
330,1542469,23638,1587459
331,1531858,25467,1576140
332,1543469,24240,1586413
333,1502025,29959,1547707
334,1521839,23473,1563257
335,1519525,23635,1562697
336,1492600,25946,1535693
337,1493377,29591,1537672
338,1552913,24271,1597406
339,1521525,24359,1565162
340,1508729,23947,1551028
341,1534969,23443,1578282
342,1422305,27514,1464170
343,1336251,20935,1367371
344,1301271,20449,1331201
345,1306807,20741,1337085
346,1311807,21589,1342470
347,1309455,20863,1339244
348,1299214,20488,1328776
349,1293474,20539,1322309
350,1288826,20553,1318267
351,1281660,21753,1311894
352,1277900,20045,1306426
353,1278215,20114,1307070
354,1280326,20239,1308991
355,1283826,21088,1313562
356,1280141,20213,1308965
357,1283770,20246,1312349
358,1278753,20222,1307363
359,1338862,20051,1369043
360,1282029,21641,1312911
361,1404065,26358,1446070
362,1304362,20428,1334809
363,1293882,20460,1323027
364,1295381,21531,1325709
365,1292660,20212,1321926
366,1291308,20429,1320496
367,1285122,20443,1314658
368,1286456,19957,1315024
369,1282938,21380,1312984
370,1285567,20005,1314350
371,1280382,19926,1309012
372,1282289,20126,1310952
373,1284271,20845,1313745
374,1285604,20359,1314444
375,1282326,20002,1310902
376,1285919,20998,1315564
377,1281456,20048,1310208
378,1282141,21249,1311779
379,1286808,20615,1316144
380,1284160,20110,1312770
381,1283604,20050,1312358
382,1281493,22177,1312447
383,1281697,20135,1310128
384,1342048,21945,1375770
385,1303456,20218,1332896
386,1290012,20362,1319280
