ts_epoch,load1,mem_used_kb,mem_avail_kb,temp_mC
1785265147,2.81,309236,3566104,39920
1785265148,2.81,330064,3545528,38946
1785265149,2.81,325784,3549808,40407
1785265150,2.81,322240,3553352,38946
1785265151,2.83,317432,3558160,39433
1785265152,2.83,315580,3560012,38459
1785265153,2.83,313332,3562264,39433
1785265154,2.83,311636,3564400,38946
1785265156,2.83,309500,3566536,39920
1785265157,2.68,315784,3559808,39920
1785265158,2.68,312596,3562996,39433
1785265159,2.68,311352,3564240,39920
1785265160,2.68,309716,3565876,39433
1785265161,2.68,308116,3567476,39433
1785265162,2.62,306740,3569148,38459
1785265163,2.62,305492,3570144,38459
1785265164,2.62,305384,3570484,39433
1785265165,2.62,305304,3570672,38946
1785265166,2.49,305320,3570272,39433
1785265167,2.49,304240,3571352,39920
1785265168,2.49,304916,3570676,38946
1785265169,2.49,303116,3572476,39920
1785265170,2.49,304588,3571004,39433
1785265171,2.53,305268,3570324,39433
1785265172,2.53,304552,3571144,39433
1785265173,2.53,304940,3571096,38459
1785265174,2.53,304744,3570596,39433
1785265176,2.53,304996,3570596,39433
1785265177,2.33,303704,3572332,39433
1785265178,2.33,304540,3571156,38946
1785265179,2.33,304216,3571376,38459
1785265180,2.33,303016,3572576,38946
1785265181,2.33,303992,3571600,38459
1785265182,2.30,303916,3571684,38946
1785265183,2.30,305168,3570720,39920
1785265184,2.30,304852,3570740,39433
1785265185,2.30,303884,3571708,38459
1785265186,2.52,305120,3570768,39920
1785265187,2.52,304864,3570772,39920
1785265188,2.52,303920,3572192,39920
1785265189,2.52,303300,3572040,38459
1785265190,2.52,302620,3573056,38946
1785265191,2.48,303384,3572208,39920
1785265192,2.48,304336,3571404,39433
1785265193,2.48,304300,3571572,39920
1785265195,2.48,303804,3571936,38459
1785265196,2.48,303244,3572096,38946
1785265197,2.52,303500,3571840,38459
1785265198,2.52,305832,3569760,38946
1785265199,2.52,304384,3571208,39433
1785265200,2.52,305352,3570240,37972
1785265201,2.52,305068,3570376,38459
1785265202,2.56,305464,3570128,39920
