case,excluded,family,node_count,nodes_sha256,param,po_dedup_publiczne,po_dedup_substraty,po_dedup_tokeny_from,po_dedup_tokeny_pol,profile,przed_dedup_publiczne,przed_dedup_substraty,przed_dedup_tokeny_from,przed_dedup_tokeny_pol,q,r1,r2,returncode,status,wejscie_publiczne,wejscie_substraty,wejscie_tokeny_from,wejscie_tokeny_pol,wyjscie_publiczne,wyjscie_substraty,wyjscie_tokeny_from,wyjscie_tokeny_pol
W1,False,W1,5,4b26ed307e0166f8d1fa59ea1e874899e41c5fd882be9ef62f84eb3685bb70b7,-,3,2,7,3,OFF,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W1,False,W1,5,4b26ed307e0166f8d1fa59ea1e874899e41c5fd882be9ef62f84eb3685bb70b7,-,3,2,7,3,STRUCT,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W1,False,W1,4,ddbc64bc70e115337e04b3ee4eac0b96e81aea703c916cfeea2e2366190e3210,-,3,1,5,2,STRUCT+R1,3,1,5,2,1,1,0,0,compiled,3,0,5,1,3,1,5,2
W1,False,W1,5,4b26ed307e0166f8d1fa59ea1e874899e41c5fd882be9ef62f84eb3685bb70b7,-,3,2,7,3,STRUCT+R2,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W1,False,W1,4,ddbc64bc70e115337e04b3ee4eac0b96e81aea703c916cfeea2e2366190e3210,-,3,1,5,2,ALGSTRUCT,3,1,5,2,1,1,0,0,compiled,3,0,5,1,3,1,5,2
W2_Q01,False,W2,5,fb4f50a52888382fd35dda056767f1188dd59b0b7db5fbe2928a5afbf6bf9f5b,Q=1,3,2,7,3,OFF,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W2_Q01,False,W2,5,fb4f50a52888382fd35dda056767f1188dd59b0b7db5fbe2928a5afbf6bf9f5b,Q=1,3,2,7,3,STRUCT,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W2_Q01,False,W2,4,2474f5c3c44c2292e8653ad95f4f21ec80fa6c72b730d7761807baa6c04c0270,Q=1,3,1,5,2,STRUCT+R1,3,1,5,2,1,1,0,0,compiled,3,0,5,1,3,1,5,2
W2_Q01,False,W2,5,fb4f50a52888382fd35dda056767f1188dd59b0b7db5fbe2928a5afbf6bf9f5b,Q=1,3,2,7,3,STRUCT+R2,3,2,7,3,1,0,0,0,compiled,3,0,5,1,3,2,7,3
W2_Q01,False,W2,4,2474f5c3c44c2292e8653ad95f4f21ec80fa6c72b730d7761807baa6c04c0270,Q=1,3,1,5,2,ALGSTRUCT,3,1,5,2,1,1,0,0,compiled,3,0,5,1,3,1,5,2
W2_Q02,False,W2,6,002b88cffa362a25f201c7342c0d49bad4cd7fb10998ad8823a39c11beee6d88,Q=2,4,2,10,4,OFF,4,2,10,4,2,0,0,0,compiled,4,0,10,2,4,2,10,4
W2_Q02,False,W2,6,002b88cffa362a25f201c7342c0d49bad4cd7fb10998ad8823a39c11beee6d88,Q=2,4,2,10,4,STRUCT,4,2,10,4,2,0,0,0,compiled,4,0,10,2,4,2,10,4
W2_Q02,False,W2,5,d8adac9423435c6f23a5e314f4d31430db516714fee41508dcac1bc6af0e6f0c,Q=2,4,1,7,3,STRUCT+R1,4,1,7,3,2,2,0,0,compiled,4,0,10,2,4,1,7,3
W2_Q02,False,W2,6,002b88cffa362a25f201c7342c0d49bad4cd7fb10998ad8823a39c11beee6d88,Q=2,4,2,10,4,STRUCT+R2,4,2,10,4,2,0,0,0,compiled,4,0,10,2,4,2,10,4
W2_Q02,False,W2,5,d8adac9423435c6f23a5e314f4d31430db516714fee41508dcac1bc6af0e6f0c,Q=2,4,1,7,3,ALGSTRUCT,4,1,7,3,2,2,0,0,compiled,4,0,10,2,4,1,7,3
W2_Q04,False,W2,8,b8312387bf162a1452336c9e9e40ef1298c4a5b22cc87b54f4215f6e91104b3c,Q=4,6,2,16,6,OFF,6,2,16,6,4,0,0,0,compiled,6,0,20,4,6,2,16,6
W2_Q04,False,W2,8,b8312387bf162a1452336c9e9e40ef1298c4a5b22cc87b54f4215f6e91104b3c,Q=4,6,2,16,6,STRUCT,6,2,16,6,4,0,0,0,compiled,6,0,20,4,6,2,16,6
W2_Q04,False,W2,7,e3e1c95caf3c6465ad04568b51f69fe26be853a4ad44521756f63edd123351f8,Q=4,6,1,11,5,STRUCT+R1,6,1,11,5,4,4,0,0,compiled,6,0,20,4,6,1,11,5
W2_Q04,False,W2,8,b8312387bf162a1452336c9e9e40ef1298c4a5b22cc87b54f4215f6e91104b3c,Q=4,6,2,16,6,STRUCT+R2,6,2,16,6,4,0,0,0,compiled,6,0,20,4,6,2,16,6
W2_Q04,False,W2,7,e3e1c95caf3c6465ad04568b51f69fe26be853a4ad44521756f63edd123351f8,Q=4,6,1,11,5,ALGSTRUCT,6,1,11,5,4,4,0,0,compiled,6,0,20,4,6,1,11,5
W2_Q08,False,W2,12,e121069670786ba8fbe3100d624a17638d4611a34b02647058710f2e3db6a9c9,Q=8,10,2,28,10,OFF,10,2,28,10,8,0,0,0,compiled,10,0,40,8,10,2,28,10
W2_Q08,False,W2,12,e121069670786ba8fbe3100d624a17638d4611a34b02647058710f2e3db6a9c9,Q=8,10,2,28,10,STRUCT,10,2,28,10,8,0,0,0,compiled,10,0,40,8,10,2,28,10
W2_Q08,False,W2,11,28ef291bdbdabd5779860a9dac095bdb774cc930b18dec6f9c7bf13df75550d2,Q=8,10,1,19,9,STRUCT+R1,10,1,19,9,8,8,0,0,compiled,10,0,40,8,10,1,19,9
W2_Q08,False,W2,12,e121069670786ba8fbe3100d624a17638d4611a34b02647058710f2e3db6a9c9,Q=8,10,2,28,10,STRUCT+R2,10,2,28,10,8,0,0,0,compiled,10,0,40,8,10,2,28,10
W2_Q08,False,W2,11,28ef291bdbdabd5779860a9dac095bdb774cc930b18dec6f9c7bf13df75550d2,Q=8,10,1,19,9,ALGSTRUCT,10,1,19,9,8,8,0,0,compiled,10,0,40,8,10,1,19,9
W2_Q16,False,W2,20,f53a43e02a6f7be38b5d23a92cce7a6f0c7e7deac086e97841ea021c93a5a893,Q=16,18,2,52,18,OFF,18,2,52,18,16,0,0,0,compiled,18,0,80,16,18,2,52,18
W2_Q16,False,W2,20,f53a43e02a6f7be38b5d23a92cce7a6f0c7e7deac086e97841ea021c93a5a893,Q=16,18,2,52,18,STRUCT,18,2,52,18,16,0,0,0,compiled,18,0,80,16,18,2,52,18
W2_Q16,False,W2,19,6874ea3fe8a08c7af5d8752f9a4557e5d01bc066a937913a1e427661cbb540c4,Q=16,18,1,35,17,STRUCT+R1,18,1,35,17,16,16,0,0,compiled,18,0,80,16,18,1,35,17
W2_Q16,False,W2,20,f53a43e02a6f7be38b5d23a92cce7a6f0c7e7deac086e97841ea021c93a5a893,Q=16,18,2,52,18,STRUCT+R2,18,2,52,18,16,0,0,0,compiled,18,0,80,16,18,2,52,18
W2_Q16,False,W2,19,6874ea3fe8a08c7af5d8752f9a4557e5d01bc066a937913a1e427661cbb540c4,Q=16,18,1,35,17,ALGSTRUCT,18,1,35,17,16,16,0,0,compiled,18,0,80,16,18,1,35,17
W2_Q32,False,W2,36,ead1d2e3154b72c47159b745145cb82392c282dcdeeba0e877b2291c8ed45d37,Q=32,34,2,100,34,OFF,34,2,100,34,32,0,0,0,compiled,34,0,160,32,34,2,100,34
W2_Q32,False,W2,36,ead1d2e3154b72c47159b745145cb82392c282dcdeeba0e877b2291c8ed45d37,Q=32,34,2,100,34,STRUCT,34,2,100,34,32,0,0,0,compiled,34,0,160,32,34,2,100,34
W2_Q32,False,W2,35,aa6152b6f2b2227ea71db0831b5f58d2dce2bdcb6db5c4bb5d1fb235d1201ed1,Q=32,34,1,67,33,STRUCT+R1,34,1,67,33,32,32,0,0,compiled,34,0,160,32,34,1,67,33
