family,case,param,q,struct_nodes,algstruct_nodes,net,usuniete,dodane,struct_tokeny_from,algstruct_tokeny_from,struct_tokeny_pol,algstruct_tokeny_pol,r1,r2
W1,W1,-,1,5,4,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,7,5,3,2,1,0
W2,W2_Q01,Q=1,1,5,4,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,7,5,3,2,1,0
W2,W2_Q02,Q=2,2,6,5,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,10,7,4,3,2,0
W2,W2_Q04,Q=4,4,8,7,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,16,11,6,5,4,0
W2,W2_Q08,Q=8,8,12,11,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,28,19,10,9,8,0
W2,W2_Q16,Q=16,16,20,19,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,52,35,18,17,16,0
W2,W2_Q32,Q=32,32,36,35,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,100,67,34,33,32,0
W3,W3_d1,d=1,8,12,11,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,28,19,10,9,8,0
W3,W3_d2,d=2,8,16,14,-2,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B STREAM_TIMEMOVE_S1 STREAM_TIMEMOVE_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B,STREAM_HASH_A_B STREAM_HASH_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B_S1,35,24,13,11,9,0
W3,W3_d3,d=3,8,20,17,-3,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B STREAM_TIMEMOVE_S1 STREAM_TIMEMOVE_S2 STREAM_TIMEMOVE_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B STREAM_TIMEMOVE_STREAM_HASH_STREAM_TIMEMOVE_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B_STREAM_TIMEMOVE_S1,STREAM_HASH_A_B STREAM_HASH_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B_S1 STREAM_HASH_STREAM_HASH_STREAM_TIMEMOVE_STREAM_HASH_STREAM_TIMEMOVE_A_STREAM_TIMEMOVE_B_STREAM_TIMEMOVE_S1_S2,42,29,16,13,10,0
W4,W4_Q01,Q=1,1,8,7,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,12,10,35,34,1,0
W4,W4_Q02,Q=2,2,12,11,-1,STREAM_TIMEMOVE_A STREAM_TIMEMOVE_B,STREAM_HASH_A_B,20,17,68,67,2,0
