family	case	profiles	client_stream
W2	W2_Q01	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w2_out_000
W2	W2_Q08	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w2_out_000
W2	W2_Q32	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w2_out_000
W3	W3_d1	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w3_out_000
W3	W3_d3	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w3_out_000
W4	W4_Q08	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w4_avg_000
W4	W4_Q32	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w4_avg_000
W5	W5_Q32	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w5_out_000
W7	W7_Q32	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	w7_out_000
W8	W8_Q01	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	mon_000
W8	W8_Q08	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	mon_000
W8	W8_Q32	OFF,STRUCT,STRUCT_R1,ALGSTRUCT	mon_000
W9	W9_Q08	OFF,STRUCT,STRUCT_R2,ALGSTRUCT	w9_out_000
W9	W9_Q32	OFF,STRUCT,STRUCT_R2,ALGSTRUCT	w9_out_000
