ts_epoch,load1,mem_used_kb,temp_mC
1785436595,0.47,305008,38459
1785436596,0.47,314100,38946
1785436597,0.47,313352,37485
1785436598,0.47,312468,40407
1785436599,0.43,307352,39433
1785436600,0.43,304832,40407
1785436601,0.43,290108,39433
1785436602,0.43,296128,38459
1785436603,0.43,295476,39433
1785436604,0.72,295508,39433
1785436606,0.72,294860,39920
1785436607,0.72,294368,39920
1785436608,0.72,293216,39920
1785436609,0.72,292208,39433
1785436610,0.66,292016,38459
1785436611,0.66,293652,39920
1785436612,0.66,293036,39433
1785436613,0.66,292764,39433
1785436614,0.85,292312,40407
1785436615,0.85,292856,38946
1785436616,0.85,291180,39920
1785436617,0.85,293564,39920
1785436618,0.85,293372,39920
1785436619,0.94,292596,40407
1785436620,0.94,291916,39920
1785436621,0.94,287736,40407
1785436622,0.94,287728,38946
1785436623,0.94,288736,39920
1785436624,1.11,288948,40407
1785436625,1.11,289176,40894
1785436626,1.11,289932,40894
1785436627,1.11,298148,40407
1785436628,1.11,296048,38946
1785436630,1.02,295340,39920
1785436631,1.02,293908,39433
1785436632,1.02,293044,39920
1785436633,1.02,292432,39920
1785436634,1.02,282532,39433
1785436635,1.02,291128,39433
1785436636,1.02,290932,39920
1785436637,1.02,292224,40407
1785436638,1.02,291160,40407
1785436639,1.18,290572,38946
1785436640,1.18,284948,39433
1785436641,1.18,296608,40407
1785436642,1.18,295424,39920
1785436643,1.18,295656,40407
1785436644,1.16,294608,39920
1785436645,1.16,293632,40894
1785436646,1.16,293348,40407
1785436647,1.16,294668,40894
1785436648,1.16,293364,40407
1785436649,1.07,294116,40407
1785436650,1.07,293088,39920
1785436651,1.07,292428,39433
1785436652,1.07,292148,40407
1785436654,1.07,298532,39920
1785436655,1.14,294544,40407
1785436656,1.14,296316,40407
1785436657,1.14,295404,40407
1785436658,1.14,294104,39920
1785436659,1.14,293704,40407
1785436660,1.05,298176,38946
1785436661,1.05,297172,40407
1785436662,1.05,296740,40407
1785436663,1.05,296448,40407
1785436664,1.21,295048,39920
1785436665,1.21,293484,40407
1785436666,1.21,289416,39920
1785436667,1.21,289408,39920
1785436668,1.21,291064,39920
1785436669,1.11,291204,40407
1785436670,1.11,290176,39920
1785436671,1.11,290324,41868
1785436672,1.11,288136,40407
1785436673,1.11,297124,39920
1785436674,1.02,297628,40407
1785436675,1.02,297092,40407
1785436676,1.02,296392,40407
1785436677,1.02,294980,39920
1785436679,1.02,286488,41381
1785436680,1.02,288828,39920
1785436681,1.02,288752,38946
1785436682,1.02,290036,40407
1785436683,1.02,289992,39920
1785436684,1.02,289668,40894
1785436685,1.34,289472,40407
1785436686,1.34,294724,40407
1785436687,1.34,293720,40407
1785436688,1.34,295144,41381
1785436689,1.55,294880,40407
1785436690,1.55,292992,40894
1785436691,1.55,292640,41381
1785436692,1.55,294908,39920
1785436693,1.55,294892,40407
1785436694,1.43,297412,41381
1785436695,1.43,295612,39920
1785436696,1.43,295020,40894
1785436697,1.43,294528,40407
1785436698,1.43,301008,40894
1785436699,1.31,299408,40407
1785436700,1.31,300084,40407
1785436701,1.31,299772,39920
1785436702,1.31,296544,40894
1785436704,1.31,295208,40407
1785436705,1.21,298456,41381
1785436706,1.21,297464,40407
1785436707,1.21,298840,40894
1785436708,1.21,299092,40407
1785436709,1.21,297792,40407
1785436710,1.43,296384,41381
1785436711,1.43,288420,41868
1785436712,1.43,295292,39920
1785436713,1.43,295348,39433
1785436714,1.32,296128,40894
1785436715,1.32,296372,40407
1785436716,1.32,295160,41381
1785436717,1.32,283064,40894
1785436718,1.32,293612,39433
1785436719,1.21,292156,39920
1785436720,1.21,295136,40407
1785436721,1.21,295592,40894
1785436722,1.21,294540,40894
1785436723,1.21,294300,40894
1785436724,1.35,300352,40407
1785436725,1.35,297324,39433
1785436726,1.35,295312,40407
1785436728,1.35,294452,40894
1785436729,1.35,293408,41381
1785436730,1.25,293060,40894
1785436731,1.25,297548,40407
1785436732,1.25,295948,40407
1785436733,1.25,297540,40894
1785436734,1.25,296124,40407
1785436735,1.23,295268,40407
1785436736,1.23,293604,39920
1785436737,1.23,293456,40894
1785436738,1.23,293124,40894
1785436739,1.69,293772,40894
1785436740,1.69,293200,40407
1785436741,1.69,292592,40894
1785436742,1.69,291852,40894
1785436743,1.69,290072,42355
1785436744,1.55,297444,40407
1785436745,1.55,296784,40894
1785436746,1.55,296192,40407
1785436747,1.55,294180,40407
1785436748,1.55,293600,39920
1785436749,1.51,286212,39920
1785436750,1.51,296736,39920
1785436752,1.51,293848,40407
1785436753,1.51,296560,40894
1785436754,1.51,296076,41381
1785436755,1.47,295388,40407
1785436756,1.47,284372,40407
1785436757,1.47,295312,39433
1785436758,1.47,294028,40407
1785436759,1.47,294568,40407
1785436760,1.59,292744,39920
1785436761,1.59,292504,40407
1785436762,1.59,292280,40894
