case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,STRUCT,5,6,90,684,0,612238,878107,902700,369790939,37863,692067,1011069,1023984,1050626,20344,61,577610,1832,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q01,STRUCT_R1,8,6,90,684,0,137342,264721,288110,93305225,35426,199418,385486,395059,427774,20336,33,1059938,1427,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6084
W2_Q01,OFF,12,6,90,684,0,142610,329406,472090,98848732,47033,189908,452608,467110,608684,20336,33,202129,1537,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q08,STRUCT_R1,3,6,90,684,0,632247,808311,851774,355544899,41205,702207,942672,978295,1006088,20336,60,608850,2073,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT_R1,10,6,90,684,0,653525,834552,877940,362451201,34865,722270,962349,984834,1019094,20336,60,579516,1481,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q01,STRUCT_R1,10,6,90,684,0,133583,266147,312740,92097744,39139,199337,389890,433084,454683,20336,32,273719,1243,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q08,STRUCT,6,6,90,684,0,628803,910663,1023107,375191301,32262,707106,1033129,1108854,1159079,20336,62,577832,1592,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q08,STRUCT,7,6,90,684,0,608478,881034,940348,368961822,40484,687470,1013820,1058232,1085080,20336,61,578905,1778,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q01,STRUCT,1,6,90,684,0,141712,334665,378813,98729895,39724,188932,450877,491844,522170,20336,33,263554,1686,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q32,STRUCT_R1,15,6,90,684,0,2389592,2693470,2749896,1272638094,40130,2480511,2830695,2897792,2908437,20464,154,2318252,3350,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6095
W2_Q08,OFF,3,6,90,684,0,612173,885128,981348,371252601,32818,689968,1013449,1064352,1120344,20336,61,466127,1889,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q01,ALGSTRUCT,7,6,90,684,0,135830,272994,306864,93756915,37321,199849,392835,421593,574171,20336,32,274736,1128,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6063
W2_Q08,STRUCT,4,6,90,684,0,610450,883815,916537,370006220,42876,690486,1020220,1042561,1052604,20336,61,582266,1778,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,STRUCT,7,6,90,684,0,140516,328716,398270,98865750,45275,187251,446648,469536,522115,20336,33,265680,1574,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q08,ALGSTRUCT,1,6,90,684,0,637691,817484,828058,357728156,36998,705897,941685,957405,971406,20336,60,582581,1593,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6069
W2_Q08,STRUCT_R1,5,6,90,684,0,628312,801467,835374,353513272,34747,697434,929144,958337,958959,20336,60,583173,1816,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q32,ALGSTRUCT,6,6,90,684,0,2419521,2733303,2846152,1288713578,35294,2509340,2858351,2949267,3005468,20472,157,2259070,3685,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6102
W2_Q32,ALGSTRUCT,8,6,90,684,0,2485475,2789897,2868283,1308525086,36689,2570647,2931572,2993989,3001481,20468,157,2240126,3223,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6096
W2_Q08,STRUCT_R1,6,6,90,684,0,632822,801005,883208,353979883,32789,702725,938554,976630,1045568,20340,60,585284,1798,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT,1,6,90,684,0,612749,878431,912318,370122288,33343,688650,1013488,1039563,1064766,20340,61,579694,1796,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6071
W2_Q08,STRUCT_R1,1,6,90,684,0,634860,807080,875430,355757162,38807,701929,933671,965006,1010827,20336,60,574860,1760,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT_R1,14,6,90,684,0,633231,823173,864042,356349463,34892,701512,944317,971143,996246,20336,60,580548,1443,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
