case,profile,rep,scale,f_phi_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W2_Q08,STRUCT,5,6,90,684,0,621734,894676,909398,374764039,31816,702533,1014869,1046419,1047103,20340,62,582587,1907,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6075
W2_Q01,STRUCT_R1,8,6,90,684,0,137109,267220,289460,92671684,33293,200542,384073,398347,430327,20340,32,280978,1297,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6068
W2_Q01,OFF,12,6,90,684,0,141462,332275,358423,99563690,38528,190287,454811,467479,500712,20340,34,201961,1723,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6066
W2_Q08,STRUCT_R1,3,6,90,684,0,640799,800937,822918,358811831,35125,709724,932161,941298,944112,20340,61,581974,1575,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q08,STRUCT_R1,10,6,90,684,0,642429,804436,821103,358957321,33306,710826,928268,938399,939789,20340,61,577589,1702,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6072
W2_Q01,STRUCT_R1,10,6,90,684,0,137498,263330,282534,93484665,31280,202929,385622,401174,414235,20340,32,273515,1259,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6067
W2_Q08,STRUCT,6,6,90,684,0,622669,883677,911917,374509409,42397,707539,1016160,1033378,1033596,20340,62,578347,1999,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q08,STRUCT,7,6,90,684,0,617845,885695,972101,373336827,32721,698598,1017951,1061648,1100272,20340,62,583994,1611,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q01,STRUCT,1,6,90,684,0,136535,325941,345274,98458820,49685,187464,451776,466703,472241,20340,33,262517,1407,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6065
W2_Q32,STRUCT_R1,15,6,90,684,0,2427308,2715621,2827841,1290831079,35596,2517913,2864814,2899395,2902314,20468,157,2216458,2964,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6111
W2_Q08,OFF,3,6,90,684,0,617864,892120,912565,372800713,32220,702186,1014645,1047439,1050666,20340,62,459161,1890,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,ALGSTRUCT,7,6,90,684,0,138424,269961,278775,94635441,40271,205635,391162,403951,420060,20340,32,283201,1296,1,0,3,1,5,2,5,14,4,2136,2148,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q08,STRUCT,4,6,90,684,0,622271,874176,894232,374553927,37784,700931,1007570,1023290,1034191,20340,62,574512,2019,0,0,10,2,28,10,6,15,4,17088,2140,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q01,STRUCT,7,6,90,684,0,138064,324923,335052,98078851,46889,185900,446217,458125,461836,20340,33,264220,1685,0,0,3,2,7,3,6,15,4,2136,2140,90a4f1748b63365c8888a8d0ea195fa0ec0be64fe65b0d7b2cbdf94d035fa9f2,6,6064
W2_Q08,ALGSTRUCT,1,6,90,684,0,645882,816880,831844,362176867,30560,715151,942305,959816,962962,20340,61,581217,1703,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6070
W2_Q08,STRUCT_R1,5,6,90,684,0,640160,804140,837307,358087885,37737,707851,933147,959176,962826,20340,61,582124,1703,8,0,10,1,19,9,5,14,4,17088,2148,fff1be797f538dae4057f68523f3c5c6e470039ba3414b928bcdfe61c50be65b,34,6073
W2_Q32,ALGSTRUCT,6,6,90,684,0,2493974,2786731,2922767,1316965114,34424,2543598,2875424,2977870,2978320,20468,160,2240253,3390,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6101
W2_Q32,ALGSTRUCT,8,6,90,684,0,2451818,2748639,2830693,1304012261,35561,2536864,2894214,2946695,2992011,20468,158,2235643,3260,32,0,34,1,67,33,5,14,4,68352,2148,c7036f0cd78e68b89d71aa5c944ce975a7ca2bb2159bd6b51fa80a60daf1f23b,130,6101
