case,profile,rep,scale,f_phi_hz,stream_hz,samples,exit_code,compute_median_ns,compute_p99_ns,compute_max_ns,compute_sum_ns,wake_p999_ns,e2e_p50_ns,e2e_p99_ns,e2e_p999_ns,e2e_max_ns,vmhwm_kb,cpu_ticks,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,mat_bytes,mat_mem_bytes,artifacts_sha256,artifact_count,wall_ms
W5_Q32,STRUCT_R1,9,12,180,180,1368,0,2474371,2930945,3070316,2681069458,43121,2578366,3130075,3215259,3270102,21904,313,2902057,11351,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6271
W5_Q32,STRUCT_R1,14,12,180,180,1368,0,2471204,2944315,3087205,2679396774,58296,2576834,3142752,3235286,3286239,21888,314,2066110,11557,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,STRUCT_R1,7,12,180,180,1368,0,2573797,3406371,4111686,2807057470,941901,2692540,3647828,3996124,4525616,21884,328,2074202,10187,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6137
W5_Q32,ALGSTRUCT,9,12,180,180,1368,0,2501352,3001871,3125223,2732415517,62234,2607185,3191914,3257112,3322321,21912,319,2909297,10130,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6268
W5_Q32,STRUCT,13,12,180,180,1368,0,2543704,3042186,3229741,2755820328,85367,2639781,3240919,3346300,3444959,21908,321,2811891,12554,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6264
W5_Q32,OFF,12,12,180,180,1368,0,2481445,2973408,3243926,2704556725,56850,2585284,3173229,3331587,3491610,21908,316,2598129,12056,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6264
W5_Q32,OFF,1,12,180,180,1368,0,2475750,3016982,3128482,2698753056,53842,2581493,3186511,3325657,3385682,21896,316,1779983,13610,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6148
W5_Q32,ALGSTRUCT,2,12,180,180,1368,0,2500880,3001130,3107779,2734069735,61638,2606676,3201785,3302457,3308843,21896,320,2102446,11888,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,ALGSTRUCT,10,12,180,180,1368,0,2534157,3047945,3264538,2773055897,90351,2642650,3253249,3370319,3400128,21896,325,2198835,10832,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6146
W5_Q32,ALGSTRUCT,8,12,180,180,1368,0,2506500,3008944,3130279,2736549621,50053,2616937,3206307,3320253,3345441,21896,319,2094094,12240,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6173
W5_Q32,STRUCT,5,12,180,180,1368,0,2478889,2961038,3129797,2691491836,50639,2585124,3147960,3248180,3280703,21896,315,1986926,8778,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6149
W5_Q32,OFF,9,12,180,180,1368,0,2507528,3141760,3498427,2748384394,564197,2608571,3369887,3672159,3682413,21896,322,1766888,8927,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6154
W5_Q32,STRUCT,10,12,180,180,1368,0,2470083,2953797,3070889,2690102218,62705,2577593,3142822,3246103,3269020,21888,317,2448815,22556,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6162
W5_Q32,STRUCT,14,12,180,180,1368,0,2477472,2951760,3102500,2691348170,64111,2583220,3145820,3320511,3333320,21896,316,2010834,9018,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6143
W5_Q32,STRUCT,3,12,180,180,1368,0,2493509,2977205,3087908,2716162012,45442,2584669,3163112,3291550,3338309,21888,320,2097111,9612,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6138
W5_Q32,OFF,3,12,180,180,1368,0,2479991,2972371,3239278,2700197550,71953,2586372,3169120,3344936,3460595,21896,316,1768815,9945,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6145
W5_Q32,STRUCT,7,12,180,180,1368,0,2476167,2956944,3154001,2692479404,46029,2585625,3151619,3300071,3357587,21900,316,1980850,10909,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6150
W5_Q32,ALGSTRUCT,15,12,180,180,1368,0,2655417,3429834,4139223,2851095005,429164,2742811,3552214,3964516,4298786,21896,341,2108409,16091,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6189
W5_Q32,OFF,2,12,180,180,1368,0,2471584,2984389,3133612,2698854214,66589,2580029,3173918,3271440,3285540,21896,316,1779648,11519,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6148
W5_Q32,STRUCT_R1,1,12,180,180,1368,0,2487796,2970926,3092611,2702634839,54786,2594502,3175721,3284153,3287270,21896,317,2063131,9110,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6141
W5_Q32,OFF,10,12,180,180,1368,0,2490704,2998371,3300482,2717059364,56206,2591753,3188272,3366896,3424060,21900,318,1778705,10999,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6145
W5_Q32,STRUCT_R1,13,12,180,180,1368,0,2622834,3539945,4120334,2827454500,886409,2693145,3801928,4238605,4377556,21888,332,2088723,10426,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6144
W5_Q32,STRUCT_R1,3,12,180,180,1368,0,2473028,2942741,3150575,2688919020,50599,2580557,3144148,3261668,3320752,21896,314,2098148,11371,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6154
W5_Q32,STRUCT_R1,8,12,180,180,1368,0,2473704,2945593,3120185,2688867251,110464,2579011,3147044,3285883,3306747,21896,315,2074517,8872,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6145
W5_Q32,STRUCT_R1,10,12,180,180,1368,0,2494880,2959501,3136260,2708637600,52351,2602066,3154974,3284104,3368676,21888,316,2074666,10445,0,0,96,0,96,32,66,258,4,137856,0,c47a968c0ec27ca0872e2c2efc7749655f6572e24b5e0b3376cf748b08bd4191,192,6141
