ts_epoch,load1,mem_used_kb,temp_mC
1785493205,0.69,278236,40894
1785493206,0.72,299380,39433
1785493207,0.72,298576,39433
1785493208,0.72,307052,40407
1785493209,0.72,306700,40407
1785493210,0.72,305976,39920
1785493211,0.82,304292,40894
1785493212,0.82,300988,40407
1785493213,0.82,299420,41868
1785493214,0.82,299316,40407
1785493215,0.82,299368,39920
1785493217,0.91,299348,41381
1785493218,0.91,298100,40894
1785493219,0.91,287112,39920
1785493220,0.91,287104,40894
1785493221,0.84,288112,40407
1785493222,0.84,289372,41381
1785493223,0.84,289500,40407
1785493224,0.84,288876,41381
1785493225,0.84,274468,40407
1785493226,0.85,287812,39920
1785493227,0.85,288104,41381
1785493228,0.85,288832,40894
1785493229,0.85,288260,41868
1785493230,0.85,288204,40894
1785493231,0.87,280188,42355
1785493232,0.87,315016,41868
1785493233,0.87,315392,42842
1785493234,0.87,317748,43329
1785493235,0.87,309236,42842
1785493236,0.80,306032,40407
1785493237,0.80,303620,41381
1785493238,0.80,302240,42355
1785493240,0.80,300760,41381
1785493241,0.80,296908,41381
1785493242,1.05,295352,41868
1785493243,1.05,294412,40894
1785493244,1.05,293032,41868
1785493245,1.05,292900,40894
1785493246,1.13,292752,41381
1785493247,1.13,293664,40894
1785493248,1.13,293428,41381
1785493249,1.13,293080,40407
1785493250,1.13,291528,41381
1785493251,1.36,280488,41381
1785493252,1.36,289140,40894
1785493253,1.36,288576,40407
1785493254,1.36,290528,41868
1785493255,1.36,289832,41868
1785493256,1.41,289556,41868
1785493257,1.41,283508,40407
1785493258,1.41,291304,40894
1785493259,1.41,291204,40894
1785493260,1.41,291300,41381
1785493261,1.54,289896,41868
1785493262,1.54,288992,41381
1785493264,1.54,289304,41381
1785493265,1.54,296100,40407
1785493266,1.54,294852,41381
1785493267,1.41,295248,42355
1785493268,1.41,294864,41381
1785493269,1.41,293872,40894
1785493270,1.41,293740,40894
1785493271,1.54,295256,42355
1785493272,1.54,295168,41381
1785493273,1.54,297184,41868
1785493274,1.54,297360,42355
1785493275,1.54,297328,40894
1785493276,1.50,296652,41868
1785493277,1.50,293136,41381
1785493278,1.50,301328,40894
1785493279,1.50,300348,40894
1785493280,1.50,300932,41868
1785493281,1.46,300780,41381
1785493282,1.46,299872,42355
1785493283,1.46,288320,41868
1785493284,1.46,293204,41868
1785493285,1.46,293456,41381
1785493286,1.42,295724,41868
1785493287,1.42,296100,41381
1785493289,1.42,295492,42842
1785493290,1.42,294796,41381
1785493291,1.42,294132,41868
1785493292,1.39,294376,41381
1785493293,1.39,296140,41381
1785493294,1.39,297148,41868
1785493295,1.39,296560,41381
1785493296,1.60,316468,42355
1785493297,1.60,317344,41868
1785493298,1.60,316172,42842
1785493299,1.60,316220,41868
1785493300,1.60,310920,40894
1785493301,1.63,307520,41381
1785493302,1.63,306276,42355
1785493303,1.63,293696,42355
1785493304,1.63,302732,41868
1785493305,1.63,300824,40894
1785493306,1.66,302796,41381
1785493307,1.66,302012,41868
1785493308,1.66,300276,41381
1785493309,1.66,288208,41381
1785493310,1.66,303368,41868
1785493311,1.69,302188,41868
1785493313,1.69,304776,42355
1785493314,1.69,301696,41381
1785493315,1.69,300368,40894
1785493316,1.69,298964,41381
1785493317,2.03,299164,41381
1785493318,2.03,298272,40407
1785493319,2.03,299720,41381
1785493320,2.03,299636,41868
1785493321,1.87,298720,40894
1785493322,1.87,297576,41381
1785493323,1.87,303952,41868
1785493324,1.87,302804,41381
1785493325,1.87,303580,41868
1785493326,1.88,303024,41868
1785493327,1.88,302552,41868
1785493328,1.88,301864,41381
1785493329,1.88,298276,42842
1785493330,1.88,306028,41381
1785493331,1.73,304644,40407
1785493332,1.73,316576,41381
1785493333,1.73,305960,42355
1785493334,1.73,304544,42355
1785493335,1.73,293256,42355
1785493337,1.67,303328,40894
1785493338,1.67,302696,42355
1785493339,1.67,302924,41868
1785493340,1.67,301336,40894
1785493341,1.70,301232,41381
1785493342,1.70,300624,42842
1785493343,1.70,304684,39920
1785493344,1.70,302328,40407
1785493345,1.70,302632,41381
1785493346,1.64,301824,42355
1785493347,1.64,301192,42355
1785493348,1.64,300192,41381
1785493349,1.64,301172,41381
1785493350,1.64,299816,40894
1785493351,1.51,300288,40894
1785493352,1.51,299776,41381
1785493353,1.51,298920,41381
1785493354,1.51,298508,40894
1785493355,1.51,303912,41381
1785493356,1.47,301952,41381
1785493357,1.47,304164,42355
1785493358,1.47,325304,42355
1785493360,1.47,323704,42355
1785493361,1.47,318592,43329
1785493362,1.35,310404,42355
1785493363,1.35,309268,41868
1785493364,1.35,309372,40407
1785493365,1.35,306640,41381
1785493366,1.24,305412,41868
1785493367,1.24,304188,41381
1785493368,1.24,294348,41381
1785493369,1.24,305172,41868
1785493370,1.24,302284,41868
1785493371,1.22,302872,40894
1785493372,1.22,302684,41381
1785493373,1.22,301652,41381
1785493374,1.22,300456,41381
1785493375,1.22,298188,42355
1785493376,1.12,298128,40894
1785493377,1.12,299256,41868
1785493378,1.12,298868,41381
1785493379,1.12,298800,40894
1785493380,1.12,298864,40894
1785493381,1.19,297372,41868
1785493382,1.19,296716,41381
1785493383,1.19,298316,41381
1785493385,1.19,299576,42355
1785493386,1.19,297680,41868
1785493387,1.26,296996,41381
1785493388,1.26,294460,41868
1785493389,1.26,301948,41381
1785493390,1.26,301480,40894
1785493391,1.56,300708,41381
1785493392,1.56,299784,41381
1785493393,1.56,299012,40894
1785493394,1.56,287740,41868
1785493395,1.56,302808,41381
1785493396,1.43,301284,40407
1785493397,1.43,303284,41381
1785493398,1.43,302928,41381
1785493399,1.43,301672,41381
1785493400,1.43,301604,41868
1785493401,1.88,293704,41868
1785493402,1.88,293792,42355
1785493403,1.88,295340,41381
1785493404,1.88,296352,41381
1785493405,1.88,295260,42355
1785493406,2.05,294712,40894
1785493407,2.05,299692,42842
1785493409,2.05,298224,40894
1785493410,2.05,300452,41381
1785493411,2.05,300916,41868
1785493412,1.89,300192,41868
1785493413,1.89,299896,40407
1785493414,1.89,288416,42355
1785493415,1.89,296496,41381
1785493416,1.89,296108,41868
1785493417,1.89,297120,40894
1785493418,1.89,297348,41381
1785493419,1.89,297032,41868
1785493420,1.89,299776,42355
1785493421,1.98,328012,42842
1785493422,1.98,330844,41381
1785493423,1.98,329856,42355
1785493424,1.98,326228,41868
1785493425,1.98,323044,41868
1785493426,2.23,319760,42355
1785493427,2.23,315828,41868
1785493428,2.23,314964,42355
1785493429,2.23,312172,41381
1785493430,2.23,309624,41381
1785493431,2.05,308004,41868
1785493433,2.05,306816,43329
1785493434,2.05,305168,41868
1785493435,2.05,303920,41381
1785493436,2.05,304048,42842
1785493437,2.20,303568,41381
1785493438,2.20,302800,41868
1785493439,2.20,301708,41868
1785493440,2.20,286104,41868
1785493441,2.11,295928,41868
1785493442,2.11,295920,40407
1785493443,2.11,296784,41381
1785493444,2.11,297272,41381
1785493445,2.11,295096,41868
1785493446,2.18,287376,41381
1785493447,2.18,301664,41381
