cell,profile,side,rep,compute_median_ns,compute_p99_ns,e2e_p50_ns,e2e_p99_ns,slots,client_rc
W2_Q32,STRUCT,PRZED,0,2386535,2533830,2469488,2634957,1439,0
W2_Q32,STRUCT,PO,0,2396906,2608033,2486269,2671824,1439,0
W2_Q32,STRUCT,PO,1,2392905,2543145,2478315,2649302,1439,0
W2_Q32,STRUCT,PRZED,1,2391998,2595330,2478637,2656006,1439,0
W2_Q32,STRUCT,PRZED,2,2378628,2616959,2461827,2712206,1439,0
W2_Q32,STRUCT,PO,2,2486571,2990660,2567111,3159460,1439,0
W2_Q32,STRUCT,PO,3,2491997,2646144,2572777,2749467,1439,0
W2_Q32,STRUCT,PRZED,3,2389258,2868124,2475068,3012525,1439,0
W2_Q32,STRUCT,PRZED,4,2393980,2542663,2478411,2641709,1439,0
W2_Q32,STRUCT,PO,4,2396016,2570959,2481416,2652424,1439,0
W2_Q32,STRUCT,PO,5,2397887,2553349,2482121,2650234,1439,0
W2_Q32,STRUCT,PRZED,5,2392497,2577515,2478722,2646706,1439,0
W2_Q32,STRUCT,PRZED,6,2384072,2536849,2468698,2630452,1439,0
W2_Q32,STRUCT,PO,6,2406590,2555571,2493400,2653256,1439,0
W2_Q32,STRUCT,PO,7,2395590,2553515,2479664,2642285,1439,0
W2_Q32,STRUCT,PRZED,7,2385850,2626477,2469870,2737491,1439,0
W2_Q32,STRUCT,PRZED,8,2385979,2534588,2469893,2631254,1439,0
W2_Q32,STRUCT,PO,8,2390386,2560867,2476372,2677093,1439,0
W2_Q32,STRUCT,PO,9,2390257,2539107,2476146,2636437,1439,0
W2_Q32,STRUCT,PRZED,9,2382535,2531885,2465851,2625752,1439,0
W2_Q32,STRUCT,PRZED,10,2389164,2544033,2473468,2642310,1439,0
W2_Q32,STRUCT,PO,10,2386998,2539977,2472051,2641288,1439,0
W2_Q32,STRUCT,PO,11,2394793,2539329,2479797,2637597,1439,0
W2_Q32,STRUCT,PRZED,11,2390590,2623698,2474334,2717286,1439,0
W2_Q32,STRUCT,PRZED,12,2391497,2595662,2478322,2659141,1439,0
W2_Q32,STRUCT,PO,12,2393627,2538699,2477809,2647128,1439,0
W2_Q32,STRUCT,PO,13,2399034,2542792,2484301,2641538,1439,0
W2_Q32,STRUCT,PRZED,13,2380664,2544385,2463523,2634182,1439,0
W2_Q32,STRUCT,PRZED,14,2374979,2564755,2460085,2624723,1439,0
W2_Q32,STRUCT,PO,14,2394775,2618791,2480655,2710618,1439,0
W2_Q32,STRUCT,PO,15,2390979,2627162,2476534,2723501,1439,0
W2_Q32,STRUCT,PRZED,15,2390164,2534755,2472993,2629322,1439,0
W2_Q32,STRUCT,PRZED,16,2393293,2539458,2476462,2636351,1439,0
W2_Q32,STRUCT,PO,16,2390774,2549254,2474374,2642331,1439,0
W2_Q32,STRUCT,PO,17,2388830,2572199,2474878,2656748,1439,0
W2_Q32,STRUCT,PRZED,17,2383552,2554829,2467009,2641558,1439,0
W2_Q32,STRUCT,PRZED,18,2377811,2517052,2460834,2620322,1439,0
W2_Q32,STRUCT,PO,18,2403885,2614661,2492433,2670492,1439,0
W2_Q32,STRUCT,PO,19,2406496,2597717,2495153,2654722,1439,0
W2_Q32,STRUCT,PRZED,19,2379700,2527199,2462348,2629695,1439,0
W2_Q32,STRUCT,PRZED,20,2403163,2570236,2487258,2672174,1439,0
W2_Q32,STRUCT,PO,20,2400126,2553273,2486623,2653745,1439,0
W2_Q32,STRUCT,PO,21,2404126,2546087,2488082,2647783,1439,0
W2_Q32,STRUCT,PRZED,21,2388423,2586550,2475084,2653918,1439,0
W2_Q32,STRUCT,PRZED,22,2382626,2547069,2466696,2646145,1439,0
W2_Q32,STRUCT,PO,22,2404534,2554977,2490453,2655613,1439,0
W2_Q32,STRUCT,PO,23,2389645,2547124,2475940,2645639,1439,0
W2_Q32,STRUCT,PRZED,23,2387626,2577347,2471257,2642054,1439,0
W2_Q32,STRUCT,PRZED,24,2376663,2527421,2459102,2623202,1439,0
W2_Q32,STRUCT,PO,24,2403571,2551309,2489781,2657276,1439,0
W2_Q32,STRUCT,PO,25,2403830,2575364,2488316,2661356,1439,0
W2_Q32,STRUCT,PRZED,25,2405478,3181989,2495571,3372914,1439,0
W2_Q32,STRUCT,PRZED,26,2384811,2539310,2468711,2634692,1439,0
W2_Q32,STRUCT,PO,26,2389256,2547106,2474470,2644553,1439,0
W2_Q32,STRUCT,PO,27,2409830,2555087,2493724,2657731,1439,0
W2_Q32,STRUCT,PRZED,27,2384755,2548143,2469871,2638244,1439,0
W2_Q32,STRUCT,PRZED,28,2480273,2640846,2527602,2735144,1439,0
W2_Q32,STRUCT,PO,28,2394755,2901399,2480317,3054046,1439,0
W2_Q32,STRUCT,PO,29,2396700,2549587,2483199,2646689,1439,0
W2_Q32,STRUCT,PRZED,29,2378274,2520272,2460722,2619937,1439,0
W2_Q32,ALGSTRUCT,PRZED,0,2384885,2509087,2466832,2607700,1439,0
W2_Q32,ALGSTRUCT,PO,0,2441680,2532790,2480694,2623845,1439,0
W2_Q32,ALGSTRUCT,PO,1,2381626,2477903,2468825,2571394,1439,0
W2_Q32,ALGSTRUCT,PRZED,1,2374737,2458365,2451632,2555629,1439,0
W2_Q32,ALGSTRUCT,PRZED,2,2374367,2472384,2457292,2574808,1439,0
W2_Q32,ALGSTRUCT,PO,2,2387477,2449847,2468148,2553392,1439,0
W2_Q32,ALGSTRUCT,PO,3,2371403,2457587,2451622,2564016,1439,0
W2_Q32,ALGSTRUCT,PRZED,3,2384347,2440532,2464687,2537324,1439,0
W2_Q32,ALGSTRUCT,PRZED,4,2380626,2453940,2460633,2549041,1439,0
W2_Q32,ALGSTRUCT,PO,4,2374088,2484513,2454703,2590609,1439,0
W2_Q32,ALGSTRUCT,PO,5,2365774,2421736,2445334,2514975,1439,0
W2_Q32,ALGSTRUCT,PRZED,5,2379199,2441292,2457987,2534209,1439,0
W2_Q32,ALGSTRUCT,PRZED,6,2379144,2465439,2461362,2533345,1439,0
W2_Q32,ALGSTRUCT,PO,6,2374755,2439588,2456089,2531993,1439,0
W2_Q32,ALGSTRUCT,PO,7,2365051,2440402,2445341,2542649,1439,0
W2_Q32,ALGSTRUCT,PRZED,7,2369866,2419366,2448658,2514374,1439,0
W2_Q32,ALGSTRUCT,PRZED,8,2365848,2450421,2442861,2544280,1439,0
W2_Q32,ALGSTRUCT,PO,8,2365866,2421014,2446923,2521001,1439,0
W2_Q32,ALGSTRUCT,PO,9,2359570,2420681,2438887,2507635,1439,0
W2_Q32,ALGSTRUCT,PRZED,9,2382311,2490643,2461450,2594134,1439,0
W2_Q32,ALGSTRUCT,PRZED,10,2365699,2422310,2442749,2511951,1439,0
W2_Q32,ALGSTRUCT,PO,10,2375570,2434624,2457615,2526530,1439,0
W2_Q32,ALGSTRUCT,PO,11,2369644,2428717,2450370,2527384,1439,0
W2_Q32,ALGSTRUCT,PRZED,11,2383496,2462735,2465133,2524002,1439,0
W2_Q32,ALGSTRUCT,PRZED,12,2383606,2511031,2462687,2603027,1439,0
W2_Q32,ALGSTRUCT,PO,12,2375255,2466439,2461865,2522221,1439,0
W2_Q32,ALGSTRUCT,PO,13,2363496,2431809,2443968,2515323,1439,0
W2_Q32,ALGSTRUCT,PRZED,13,2375514,2425884,2456062,2518121,1439,0
W2_Q32,ALGSTRUCT,PRZED,14,2377755,2482013,2462010,2546283,1439,0
W2_Q32,ALGSTRUCT,PO,14,2372625,2485754,2453985,2602369,1439,0
W2_Q32,ALGSTRUCT,PO,15,2367940,2421551,2449773,2521438,1439,0
W2_Q32,ALGSTRUCT,PRZED,15,2374458,2441088,2454472,2533103,1439,0
W2_Q32,ALGSTRUCT,PRZED,16,2377217,2452532,2455753,2570725,1439,0
W2_Q32,ALGSTRUCT,PO,16,2370680,3093062,2450765,3276816,1439,0
W2_Q32,ALGSTRUCT,PO,17,2370088,2755825,2453942,2822042,1439,0
W2_Q32,ALGSTRUCT,PRZED,17,2384680,2506383,2466441,2601438,1439,0
W2_Q32,ALGSTRUCT,PRZED,18,2395347,2535568,2481591,2627967,1439,0
W2_Q32,ALGSTRUCT,PO,18,2362736,2419143,2442083,2520455,1439,0
W2_Q32,ALGSTRUCT,PO,19,2475365,2821121,2560275,2881905,1439,0
W2_Q32,ALGSTRUCT,PRZED,19,2404754,2575049,2490511,2663576,1439,0
W2_Q32,ALGSTRUCT,PRZED,20,2373736,2428680,2451940,2526660,1439,0
W2_Q32,ALGSTRUCT,PO,20,2367199,2422828,2448351,2519701,1439,0
W2_Q32,ALGSTRUCT,PO,21,2373458,2441976,2455279,2531310,1439,0
W2_Q32,ALGSTRUCT,PRZED,21,2381088,2437624,2459801,2527788,1439,0
W2_Q32,ALGSTRUCT,PRZED,22,2392976,2451050,2472455,2544120,1439,0
W2_Q32,ALGSTRUCT,PO,22,2377958,2484976,2464490,2553447,1439,0
W2_Q32,ALGSTRUCT,PO,23,2368440,2427902,2450817,2515484,1439,0
W2_Q32,ALGSTRUCT,PRZED,23,2370681,2429142,2449688,2528290,1439,0
W2_Q32,ALGSTRUCT,PRZED,24,2387607,2446235,2467119,2544202,1439,0
W2_Q32,ALGSTRUCT,PO,24,2373606,2444365,2453572,2539967,1439,0
W2_Q32,ALGSTRUCT,PO,25,2364717,2436365,2444981,2531916,1439,0
W2_Q32,ALGSTRUCT,PRZED,25,2371976,2427587,2449341,2526904,1439,0
W2_Q32,ALGSTRUCT,PRZED,26,2374051,2462328,2451672,2564764,1439,0
W2_Q32,ALGSTRUCT,PO,26,2370884,2566808,2452645,2624419,1439,0
W2_Q32,ALGSTRUCT,PO,27,2370643,2445921,2450997,2548578,1439,0
W2_Q32,ALGSTRUCT,PRZED,27,2379125,2467123,2460201,2562551,1439,0
W2_Q32,ALGSTRUCT,PRZED,28,2384588,2440290,2463345,2529970,1439,0
W2_Q32,ALGSTRUCT,PO,28,2380272,2427717,2463472,2528713,1439,0
W2_Q32,ALGSTRUCT,PO,29,2360069,2444624,2438965,2557549,1439,0
W2_Q32,ALGSTRUCT,PRZED,29,2391439,2456253,2472259,2557128,1439,0
W3_d3,STRUCT,PRZED,0,588235,1077341,615711,1153795,3239,0
W3_d3,STRUCT,PO,0,590809,1201822,619299,1399280,3239,0
W3_d3,STRUCT,PO,1,599069,1166229,667211,1245017,3239,0
W3_d3,STRUCT,PRZED,1,588754,1079156,616202,1157891,3239,0
W3_d3,STRUCT,PRZED,2,587550,1073804,614995,1149899,3239,0
W3_d3,STRUCT,PO,2,588790,1138025,616506,1288052,3239,0
W3_d3,STRUCT,PO,3,591531,1082971,640698,1160094,3239,0
W3_d3,STRUCT,PRZED,3,587254,1078304,614444,1154751,3239,0
W3_d3,STRUCT,PRZED,4,587994,1073675,615150,1150019,3239,0
W3_d3,STRUCT,PO,4,590994,1079008,618865,1158274,3239,0
W3_d3,STRUCT,PO,5,588957,1074248,616664,1152014,3239,0
W3_d3,STRUCT,PRZED,5,592494,1088767,640180,1161949,3239,0
W3_d3,STRUCT,PRZED,6,593031,1087267,638391,1150622,3239,0
W3_d3,STRUCT,PO,6,589494,1076267,617677,1153878,3239,0
W3_d3,STRUCT,PO,7,589420,1115952,617141,1191991,3239,0
W3_d3,STRUCT,PRZED,7,593586,1088359,638390,1153855,3239,0
W3_d3,STRUCT,PRZED,8,593643,1128025,622118,1200167,3239,0
W3_d3,STRUCT,PO,8,589938,1075174,617497,1152122,3239,0
W3_d3,STRUCT,PO,9,589512,1076897,617405,1153843,3239,0
W3_d3,STRUCT,PRZED,9,587975,1114285,615111,1190613,3239,0
W3_d3,STRUCT,PRZED,10,589235,1072434,616413,1147776,3239,0
W3_d3,STRUCT,PO,10,591476,1268765,619934,1444832,3239,0
W3_d3,STRUCT,PO,11,593624,1087915,621927,1167857,3239,0
W3_d3,STRUCT,PRZED,11,586901,1073415,614235,1148388,3239,0
W3_d3,STRUCT,PRZED,12,588717,1076045,615879,1152504,3239,0
W3_d3,STRUCT,PO,12,590253,1078156,617798,1155738,3239,0
W3_d3,STRUCT,PO,13,593235,1087915,621397,1166595,3239,0
W3_d3,STRUCT,PRZED,13,590513,1077897,617971,1155273,3239,0
W3_d3,STRUCT,PRZED,14,587828,1073248,614977,1148626,3239,0
W3_d3,STRUCT,PO,14,591698,1080082,639856,1156352,3239,0
W3_d3,STRUCT,PO,15,591068,1082415,619761,1161176,3239,0
W3_d3,STRUCT,PRZED,15,590031,1079396,617350,1155547,3239,0
W3_d3,STRUCT,PRZED,16,588846,1070952,615870,1147772,3239,0
W3_d3,STRUCT,PO,16,594069,1093804,640505,1152842,3239,0
W3_d3,STRUCT,PO,17,590420,1078174,618772,1155484,3239,0
W3_d3,STRUCT,PRZED,17,593568,1087433,620813,1165904,3239,0
W3_d3,STRUCT,PRZED,18,587568,1074211,614730,1150790,3239,0
W3_d3,STRUCT,PO,18,589698,1077507,617225,1156697,3239,0
W3_d3,STRUCT,PO,19,591975,1080267,619884,1160317,3239,0
W3_d3,STRUCT,PRZED,19,588568,1075711,615924,1152958,3239,0
W3_d3,STRUCT,PRZED,20,587938,1075897,615699,1152630,3239,0
W3_d3,STRUCT,PO,20,590105,1077600,617884,1155475,3239,0
W3_d3,STRUCT,PO,21,587291,1069804,614743,1144816,3239,0
W3_d3,STRUCT,PRZED,21,589050,1073600,616491,1150028,3239,0
W3_d3,STRUCT,PRZED,22,591401,1086415,618730,1162613,3239,0
W3_d3,STRUCT,PO,22,593698,1082730,642608,1157709,3239,0
W3_d3,STRUCT,PO,23,591734,1077267,619593,1153332,3239,0
W3_d3,STRUCT,PRZED,23,588679,1071174,615465,1147674,3239,0
W3_d3,STRUCT,PRZED,24,587198,1072971,614086,1147536,3239,0
W3_d3,STRUCT,PO,24,597160,1090248,644491,1161842,3239,0
W3_d3,STRUCT,PO,25,589475,1076285,617654,1154455,3239,0
W3_d3,STRUCT,PRZED,25,588809,1073711,615743,1149911,3239,0
W3_d3,STRUCT,PRZED,26,589790,1075174,617032,1149766,3239,0
W3_d3,STRUCT,PO,26,589494,1120822,617443,1197298,3239,0
W3_d3,STRUCT,PO,27,591198,1129119,619141,1205789,3239,0
W3_d3,STRUCT,PRZED,27,591920,1081063,638667,1150672,3239,0
W3_d3,STRUCT,PRZED,28,586180,1073489,613596,1151627,3239,0
W3_d3,STRUCT,PO,28,593346,1081822,620947,1159609,3239,0
W3_d3,STRUCT,PO,29,592975,1081100,621026,1159454,3239,0
W3_d3,STRUCT,PRZED,29,587402,1073859,614190,1150763,3239,0
W3_d3,ALGSTRUCT,PRZED,0,646382,906565,673965,985382,3239,0
W3_d3,ALGSTRUCT,PO,0,641920,900510,670251,978131,3239,0
W3_d3,ALGSTRUCT,PO,1,644123,900435,671948,981731,3239,0
W3_d3,ALGSTRUCT,PRZED,1,648771,910880,676132,990987,3239,0
W3_d3,ALGSTRUCT,PRZED,2,647382,904232,674417,981802,3239,0
W3_d3,ALGSTRUCT,PO,2,643327,899584,671272,977530,3239,0
W3_d3,ALGSTRUCT,PO,3,639938,934435,667762,1014523,3239,0
W3_d3,ALGSTRUCT,PRZED,3,646493,906306,674511,983362,3239,0
W3_d3,ALGSTRUCT,PRZED,4,649383,911472,676564,991042,3239,0
W3_d3,ALGSTRUCT,PO,4,642456,903768,694937,977813,3239,0
W3_d3,ALGSTRUCT,PO,5,643568,903102,671598,984626,3239,0
W3_d3,ALGSTRUCT,PRZED,5,648346,908843,675630,987121,3239,0
W3_d3,ALGSTRUCT,PRZED,6,648327,906750,675655,983487,3239,0
W3_d3,ALGSTRUCT,PO,6,641808,902713,670098,983194,3239,0
W3_d3,ALGSTRUCT,PO,7,644679,901805,672511,981740,3239,0
W3_d3,ALGSTRUCT,PRZED,7,649715,911935,700296,985700,3239,0
W3_d3,ALGSTRUCT,PRZED,8,647327,906658,674674,983985,3239,0
W3_d3,ALGSTRUCT,PO,8,643530,902417,671665,981366,3239,0
W3_d3,ALGSTRUCT,PO,9,642160,899620,670049,979791,3239,0
W3_d3,ALGSTRUCT,PRZED,9,652086,933732,699846,999667,3239,0
W3_d3,ALGSTRUCT,PRZED,10,648605,909620,676044,987314,3239,0
W3_d3,ALGSTRUCT,PO,10,642716,901250,670650,979982,3239,0
W3_d3,ALGSTRUCT,PO,11,644457,903324,696956,978878,3239,0
W3_d3,ALGSTRUCT,PRZED,11,648234,945286,675935,1022033,3239,0
W3_d3,ALGSTRUCT,PRZED,12,647401,904250,697789,978672,3239,0
W3_d3,ALGSTRUCT,PO,12,643512,903547,671438,985246,3239,0
W3_d3,ALGSTRUCT,PO,13,645104,902621,673153,981751,3239,0
W3_d3,ALGSTRUCT,PRZED,13,648067,905991,675262,980499,3239,0
W3_d3,ALGSTRUCT,PRZED,14,647549,920194,674953,998995,3239,0
W3_d3,ALGSTRUCT,PO,14,642308,901898,670329,984361,3239,0
W3_d3,ALGSTRUCT,PO,15,641271,900898,669436,980287,3239,0
W3_d3,ALGSTRUCT,PRZED,15,646531,905658,673798,982010,3239,0
W3_d3,ALGSTRUCT,PRZED,16,646012,901824,673759,978371,3239,0
W3_d3,ALGSTRUCT,PO,16,646586,925898,695567,994661,3239,0
W3_d3,ALGSTRUCT,PO,17,643234,902990,671647,983416,3239,0
W3_d3,ALGSTRUCT,PRZED,17,646068,905509,673514,982055,3239,0
W3_d3,ALGSTRUCT,PRZED,18,646975,909065,674012,991427,3239,0
W3_d3,ALGSTRUCT,PO,18,643049,934917,671208,1012795,3239,0
W3_d3,ALGSTRUCT,PO,19,641827,897842,670164,978382,3239,0
W3_d3,ALGSTRUCT,PRZED,19,649734,911546,677518,990765,3239,0
W3_d3,ALGSTRUCT,PRZED,20,646457,904620,674580,981442,3239,0
W3_d3,ALGSTRUCT,PO,20,642808,899769,670770,981039,3239,0
W3_d3,ALGSTRUCT,PO,21,639975,894250,667875,973250,3239,0
W3_d3,ALGSTRUCT,PRZED,21,647438,909213,675028,986379,3239,0
W3_d3,ALGSTRUCT,PRZED,22,648753,911731,676119,989674,3239,0
W3_d3,ALGSTRUCT,PO,22,642438,895713,670674,973081,3239,0
W3_d3,ALGSTRUCT,PO,23,646679,925657,695224,998501,3239,0
W3_d3,ALGSTRUCT,PRZED,23,646234,907194,673796,987008,3239,0
W3_d3,ALGSTRUCT,PRZED,24,651975,927343,700818,983701,3239,0
W3_d3,ALGSTRUCT,PO,24,642920,901695,671006,982015,3239,0
W3_d3,ALGSTRUCT,PO,25,652178,982657,730461,1046751,3239,0
W3_d3,ALGSTRUCT,PRZED,25,648734,908380,676644,986132,3239,0
W3_d3,ALGSTRUCT,PRZED,26,647512,905195,674987,982263,3239,0
W3_d3,ALGSTRUCT,PO,26,642419,900472,671001,981405,3239,0
W3_d3,ALGSTRUCT,PO,27,640790,898973,668602,978567,3239,0
W3_d3,ALGSTRUCT,PRZED,27,647789,907565,675293,985503,3239,0
W3_d3,ALGSTRUCT,PRZED,28,650457,910194,677685,986503,3239,0
W3_d3,ALGSTRUCT,PO,28,645920,905417,674735,985040,3239,0
W3_d3,ALGSTRUCT,PO,29,643957,903305,672276,983819,3239,0
W3_d3,ALGSTRUCT,PRZED,29,648105,908991,699074,982708,3239,0
