task,family,model,D1,D2,coder
M1,F1,rql,3,2,Codex-manual
M1,F1,python,2,2,Codex-manual
M1,F1,flink,10,10,Codex-manual
M1,F2,rql,2,2,Codex-manual
M1,F2,python,4,2,Codex-manual
M1,F2,flink,8,4,Codex-manual
M1,F3,rql,5,2,Codex-manual
M1,F3,python,3,2,Codex-manual
M1,F3,flink,9,6,Codex-manual
M2,F1,rql,3,2,Codex-manual
M2,F1,python,1,1,Codex-manual
M2,F1,flink,1,1,Codex-manual
M2,F2,rql,1,1,Codex-manual
M2,F2,python,1,1,Codex-manual
M2,F2,flink,1,1,Codex-manual
M2,F3,rql,1,1,Codex-manual
M2,F3,python,1,1,Codex-manual
M2,F3,flink,1,1,Codex-manual
M3,F1,rql,1,1,Codex-manual
M3,F1,python,1,1,Codex-manual
M3,F1,flink,1,1,Codex-manual
M3,F2,rql,1,1,Codex-manual
M3,F2,python,1,1,Codex-manual
M3,F2,flink,1,1,Codex-manual
M3,F3,rql,2,2,Codex-manual
M3,F3,python,10,5,Codex-manual
M3,F3,flink,10,5,Codex-manual
M4,F1,rql,1,1,Codex-manual
M4,F1,python,1,1,Codex-manual
M4,F1,flink,9,2,Codex-manual
M4,F2,rql,1,1,Codex-manual
M4,F2,python,2,2,Codex-manual
M4,F2,flink,10,2,Codex-manual
M4,F3,rql,1,1,Codex-manual
M4,F3,python,2,2,Codex-manual
M4,F3,flink,9,2,Codex-manual
