task,family,model,D1,D2,coder
M1,F1,rql,,,Codex-manual
M1,F1,python,,,Codex-manual
M1,F1,flink,,,Codex-manual
M1,F2,rql,,,Codex-manual
M1,F2,python,,,Codex-manual
M1,F2,flink,,,Codex-manual
M1,F3,rql,,,Codex-manual
M1,F3,python,,,Codex-manual
M1,F3,flink,,,Codex-manual
M2,F1,rql,,,Codex-manual
M2,F1,python,,,Codex-manual
M2,F1,flink,,,Codex-manual
M2,F2,rql,,,Codex-manual
M2,F2,python,,,Codex-manual
M2,F2,flink,,,Codex-manual
M2,F3,rql,,,Codex-manual
M2,F3,python,,,Codex-manual
M2,F3,flink,,,Codex-manual
M3,F1,rql,,,Codex-manual
M3,F1,python,,,Codex-manual
M3,F1,flink,,,Codex-manual
M3,F2,rql,,,Codex-manual
M3,F2,python,,,Codex-manual
M3,F2,flink,,,Codex-manual
M3,F3,rql,,,Codex-manual
M3,F3,python,,,Codex-manual
M3,F3,flink,,,Codex-manual
M4,F1,rql,,,Codex-manual
M4,F1,python,,,Codex-manual
M4,F1,flink,,,Codex-manual
M4,F2,rql,,,Codex-manual
M4,F2,python,,,Codex-manual
M4,F2,flink,,,Codex-manual
M4,F3,rql,,,Codex-manual
M4,F3,python,,,Codex-manual
M4,F3,flink,,,Codex-manual
