task,family,model,metric,rule_id,path,line,confirmed,coder
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,YES,Codex-manual
base,F1,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,YES,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,YES,Codex-manual
base,F1,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,YES,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,YES,Codex-manual
base,F1,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,YES,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,19,YES,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,20,YES,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,41,YES,Codex-manual
base,F1,python,C1,PY-C1-SLOT,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,42,YES,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,43,YES,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,44,YES,Codex-manual
base,F1,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,48,YES,Codex-manual
base,F1,python,C5,PY-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,51,YES,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,46,YES,Codex-manual
base,F1,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,39,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,35,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,36,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,37,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,38,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,40,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,45,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,47,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,53,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,54,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,55,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,49,YES,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,52,YES,Codex-manual
base,F1,flink,C4,JAVA-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,47,YES,Codex-manual
base,F1,flink,C1,JAVA-C1,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/flink/F1Fir.java,48,YES,Codex-manual
