task,family,model,metric,rule_id,path,line,confirmed,coder
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,,Codex-manual
base,F1,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,,Codex-manual
base,F1,rql,C4d,RQL-C4d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,,Codex-manual
base,F1,rql,C3d,RQL-C3d,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,19,,Codex-manual
base,F1,rql,C7,RQL-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,20,,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,41,,Codex-manual
base,F1,python,C1,PY-C1-SLOT,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,42,,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,43,,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,44,,Codex-manual
base,F1,python,C1,PY-C1-NESTED,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,48,,Codex-manual
base,F1,python,C5,PY-C5-WARMUP,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,51,,Codex-manual
base,F1,python,C4,PY-C4,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,46,,Codex-manual
base,F1,python,C3,PY-C3-WINDOW,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,39,,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,35,,Codex-manual
base,F1,python,C7,PY-C7,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,36,,Codex-manual
