task,family,model,C1,C2,C3,C4,C5,C6,C7,C3d,C4d,loc,cyclomatic
base,F1,rql,0,0,0,0,0,0,5,1,2,5,1
base,F1,python,2,0,1,4,1,0,12,0,0,21,3
base,F1,flink,3,0,1,4,1,0,29,0,0,56,4
base,F2,rql,0,0,0,0,0,0,16,4,3,16,1
base,F2,python,5,6,4,4,0,0,26,0,0,55,6
base,F2,flink,9,7,4,4,4,0,96,0,0,176,10
base,F3,rql,0,0,0,0,0,0,5,1,2,5,1
base,F3,python,2,5,1,4,2,0,14,0,0,35,3
base,F3,flink,3,1,1,4,2,0,42,0,0,70,4
M1,F1,rql,0,0,0,0,0,0,7,1,3,7,1
M1,F1,python,2,0,1,4,1,0,12,0,0,21,3
M1,F1,flink,3,0,1,4,1,0,31,0,0,58,4
M1,F2,rql,0,0,0,0,0,0,17,4,3,17,1
M1,F2,python,5,6,4,4,0,0,26,0,0,56,6
M1,F2,flink,9,7,4,4,4,0,98,0,0,180,10
M1,F3,rql,0,0,0,0,0,0,8,1,2,8,1
M1,F3,python,2,5,1,4,3,0,14,0,0,36,3
M1,F3,flink,3,1,1,4,2,0,45,0,0,75,4
M2,F1,rql,0,0,0,0,0,0,5,1,2,5,1
M2,F1,python,2,0,1,4,1,0,12,0,0,21,3
M2,F1,flink,3,0,1,4,1,0,29,0,0,56,4
M2,F2,rql,0,0,0,0,0,0,16,4,3,16,1
M2,F2,python,5,6,4,4,0,0,26,0,0,55,6
M2,F2,flink,9,7,4,4,4,0,96,0,0,176,10
M2,F3,rql,0,0,0,0,0,0,5,1,2,5,1
M2,F3,python,2,5,1,4,2,0,14,0,0,35,3
M2,F3,flink,3,1,1,4,2,0,42,0,0,70,4
M3,F1,rql,0,0,0,0,0,0,5,1,2,5,1
M3,F1,python,2,0,1,4,1,0,12,0,0,21,3
M3,F1,flink,3,0,1,4,1,0,29,0,0,56,4
M3,F2,rql,0,0,0,0,0,0,16,4,3,16,1
M3,F2,python,5,6,4,4,0,0,26,0,0,55,6
M3,F2,flink,9,7,4,4,4,0,96,0,0,176,10
M3,F3,rql,0,0,0,0,0,0,5,1,2,5,1
M3,F3,python,2,3,1,4,2,0,15,0,0,32,3
M3,F3,flink,3,1,1,4,2,0,39,0,0,67,4
M4,F1,rql,0,0,0,0,0,0,6,1,2,6,1
M4,F1,python,2,0,1,4,1,0,12,0,0,21,3
M4,F1,flink,3,0,1,4,1,0,33,0,0,63,4
M4,F2,rql,0,0,0,0,0,0,17,4,3,17,1
M4,F2,python,5,6,4,4,0,0,28,0,0,57,6
M4,F2,flink,9,7,4,4,4,0,99,0,0,182,10
M4,F3,rql,0,0,0,0,0,0,6,1,2,6,1
M4,F3,python,2,5,1,4,2,0,16,0,0,37,3
M4,F3,flink,3,1,1,4,2,0,46,0,0,77,4
