task,family,model,metric,rule_id,scope,path,line,text,name
base,F1,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,"DECLARE x INTEGER STREAM src, 1/1000 FILE 'f1_source.txt'",
base,F1,rql,C4d,RQL-C4d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,16,"DECLARE x INTEGER STREAM src, 1/1000 FILE 'f1_source.txt'",
base,F1,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,"DECLARE c INTEGER[26] STREAM coef, 1 FILE 'f1_coef.txt'",
base,F1,rql,C4d,RQL-C4d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,17,"DECLARE c INTEGER[26] STREAM coef, 1 FILE 'f1_coef.txt'",
base,F1,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,"SELECT * STREAM win FROM src@(1,26)",
base,F1,rql,C3d,RQL-C3d,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,18,"SELECT * STREAM win FROM src@(1,26)",
base,F1,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,19,SELECT win[_]*coef[_] STREAM acc FROM win+coef,
base,F1,rql,C7,RQL-C7,rql,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/rql/core.rql,20,SELECT acc[0]/26/1000 STREAM f1_out FROM acc.sumc,
base,F1,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,41,    t0 = time.monotonic_ns(),
base,F1,python,C1,PY-C1-SLOT,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,42,    for n in range(slots):,
base,F1,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,43,        deadline = t0 + n * INTERVAL_NS,
base,F1,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,44,        now = time.monotonic_ns(),
base,F1,python,C1,PY-C1-NESTED,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,48,"        for k in range(WIN - 1, 0, -1):",
base,F1,python,C5,PY-C5-WARMUP,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,51,        if n < WIN - 1:,
base,F1,python,C4,PY-C4,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,46,            time.sleep((deadline - now) / 1e9),
base,F1,python,C3,PY-C3-WINDOW,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,39,    win = [0] * WIN,run.win
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,35,"def run(samples, coef, slots):",
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,36,"    """"""Zwraca listę (logical_index, wartość) dla `slots` slotów.""""""",
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,37,    WIN = 26,
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,38,    INTERVAL_NS = 1_000_000,
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,40,    out = [],
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,45,        if now < deadline:,
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,47,        x = samples[n],
base,F1,python,C7,PY-C7,run,/home/michal/github/rdb-experiment/results_20260801_K22/corpus/F1_fir/python/core.py,53,"        acc = sumc([imul(win[k], coef[k]) for k in range(WIN)])",
