task,family,model,D1,D2,sites_file,manual_D1,manual_D2,coder,agreement
M1,F1,flink,10,10,evidence/diffs/M1/F1/flink.json,10,10,Codex-manual,YES
M1,F1,python,2,2,evidence/diffs/M1/F1/python.json,2,2,Codex-manual,YES
M1,F1,rql,3,2,evidence/diffs/M1/F1/rql.json,3,2,Codex-manual,YES
M1,F2,flink,8,4,evidence/diffs/M1/F2/flink.json,8,4,Codex-manual,YES
M1,F2,python,4,2,evidence/diffs/M1/F2/python.json,4,2,Codex-manual,YES
M1,F2,rql,2,2,evidence/diffs/M1/F2/rql.json,2,2,Codex-manual,YES
M1,F3,flink,9,6,evidence/diffs/M1/F3/flink.json,9,6,Codex-manual,YES
M1,F3,python,3,2,evidence/diffs/M1/F3/python.json,3,2,Codex-manual,YES
M1,F3,rql,5,2,evidence/diffs/M1/F3/rql.json,5,2,Codex-manual,YES
M2,F1,flink,1,1,evidence/diffs/M2/F1/flink.json,1,1,Codex-manual,YES
M2,F1,python,1,1,evidence/diffs/M2/F1/python.json,1,1,Codex-manual,YES
M2,F1,rql,3,2,evidence/diffs/M2/F1/rql.json,3,2,Codex-manual,YES
M2,F2,flink,1,1,evidence/diffs/M2/F2/flink.json,1,1,Codex-manual,YES
M2,F2,python,1,1,evidence/diffs/M2/F2/python.json,1,1,Codex-manual,YES
M2,F2,rql,1,1,evidence/diffs/M2/F2/rql.json,1,1,Codex-manual,YES
M2,F3,flink,1,1,evidence/diffs/M2/F3/flink.json,1,1,Codex-manual,YES
M2,F3,python,1,1,evidence/diffs/M2/F3/python.json,1,1,Codex-manual,YES
M2,F3,rql,1,1,evidence/diffs/M2/F3/rql.json,1,1,Codex-manual,YES
M3,F1,flink,1,1,evidence/diffs/M3/F1/flink.json,1,1,Codex-manual,YES
M3,F1,python,1,1,evidence/diffs/M3/F1/python.json,1,1,Codex-manual,YES
M3,F1,rql,1,1,evidence/diffs/M3/F1/rql.json,1,1,Codex-manual,YES
M3,F2,flink,1,1,evidence/diffs/M3/F2/flink.json,1,1,Codex-manual,YES
M3,F2,python,1,1,evidence/diffs/M3/F2/python.json,1,1,Codex-manual,YES
M3,F2,rql,1,1,evidence/diffs/M3/F2/rql.json,1,1,Codex-manual,YES
M3,F3,flink,10,5,evidence/diffs/M3/F3/flink.json,10,5,Codex-manual,YES
M3,F3,python,10,5,evidence/diffs/M3/F3/python.json,10,5,Codex-manual,YES
M3,F3,rql,2,2,evidence/diffs/M3/F3/rql.json,2,2,Codex-manual,YES
M4,F1,flink,9,2,evidence/diffs/M4/F1/flink.json,9,2,Codex-manual,YES
M4,F1,python,1,1,evidence/diffs/M4/F1/python.json,1,1,Codex-manual,YES
M4,F1,rql,1,1,evidence/diffs/M4/F1/rql.json,1,1,Codex-manual,YES
M4,F2,flink,10,2,evidence/diffs/M4/F2/flink.json,10,2,Codex-manual,YES
M4,F2,python,2,2,evidence/diffs/M4/F2/python.json,2,2,Codex-manual,YES
M4,F2,rql,1,1,evidence/diffs/M4/F2/rql.json,1,1,Codex-manual,YES
M4,F3,flink,9,2,evidence/diffs/M4/F3/flink.json,9,2,Codex-manual,YES
M4,F3,python,2,2,evidence/diffs/M4/F3/python.json,2,2,Codex-manual,YES
M4,F3,rql,1,1,evidence/diffs/M4/F3/rql.json,1,1,Codex-manual,YES
