task,family,tail,span,rql,python,flink,rate,evidence
base,F1,26,2000,PASS,PASS,PASS,NA,evidence/raw/base_F1
base,F2,240,2000,PASS,PASS,PASS,NA,evidence/raw/base_F2
base,F3,35,2000,PASS,PASS,PASS,NA,evidence/raw/base_F3
M1,F1,26,2000,PASS,PASS,PASS,NA,evidence/raw/M1_F1
M1,F2,240,2000,PASS,PASS,PASS,NA,evidence/raw/M1_F2
M1,F3,35,2000,PASS,PASS,PASS,NA,evidence/raw/M1_F3
M2,F1,45,2000,PASS,PASS,PASS,NA,evidence/raw/M2_F1
M2,F2,255,2000,PASS,PASS,PASS,NA,evidence/raw/M2_F2
M2,F3,50,2000,PASS,PASS,PASS,NA,evidence/raw/M2_F3
M3,F1,26,2000,PASS,PASS,PASS,PASS,evidence/raw/M3_F1
M3,F2,240,2000,PASS,PASS,PASS,PASS,evidence/raw/M3_F2
M3,F3,51,2000,PASS,PASS,PASS,PASS,evidence/raw/M3_F3
M4,F1,26,2000,PASS,PASS,PASS,NA,evidence/raw/M4_F1
M4,F2,60,2000,PASS,PASS,PASS,NA,evidence/raw/M4_F2
M4,F3,5,2000,PASS,PASS,PASS,NA,evidence/raw/M4_F3
