plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
2,HASH,n0,1/4,3/8,2,0,2,2
2,HASH,n1,3/8,1,4,0,4,4
2,HASH,n2,3/8,1,4,0,4,4
9,HC_NONINT,n0,2/5,1/3,2,0,2,2
10,HC_SHIFT_UNDER_HASH,n3,1,1/2,1,0,1,1
13,HC_DEEP,n0,3/8,2/3,3,0,3,3
16,HASH,n0,3/8,1/10,2,0,2,2
23,HC_NONINT,n0,1,147/1000,2,0,2,2
25,HC_INT,n0,1/8,1/8,1,0,1,1
30,HASH,n0,5/8,1/4,2,0,2,2
41,HC_DEEP,n3,4/25,3/8,4,0,4,4
44,HASH,n0,1/3,1/4,2,0,2,2
58,HASH,n0,1/4,1/10,2,0,2,2
65,HC_NONINT,n0,5/8,2/5,2,0,2,2
72,HASH,n0,1,2/5,2,0,2,2
79,HC_NONINT,n0,1/100,1/3,34,0,34,34
86,HASH,n0,1/2,1/3,2,0,2,2
95,HC_INT,n0,1/3,1/3,1,0,1,1
100,HASH,n0,1/3,1,3,0,3,3
107,HC_NONINT,n0,1/8,1/8,1,0,1,1
107,HC_NONINT,n1,1/8,3/10,4,0,4,4
109,HC_INT,n0,1,1/2,1,0,1,1
114,HASH,n0,1/8,1/10,2,0,2,2
121,HC_NONINT,n0,5/8,1/4,2,0,2,2
122,HC_SHIFT_UNDER_HASH,n0,1/2,4/25,2,0,2,2
123,HC_INT,n0,5/8,5/8,1,0,1,1
128,HASH,n0,1/16,1/3,6,0,6,6
135,HC_NONINT,n2,2/3,1/8,2,0,2,2
137,HC_INT,n0,1/8,1/16,1,0,1,1
142,HASH,n0,147/1000,1/100,2,0,2,2
142,HASH,n1,147/1000,1/100,2,0,2,2
149,HC_NONINT,n0,3/10,1/16,2,0,2,2
151,HC_INT,n1,1,1/5,1,0,1,1
156,HASH,n0,1/16,1/10,3,0,3,3
163,HC_NONINT,n0,5/8,3/8,2,0,2,2
163,HC_NONINT,n1,5/8,3/8,2,0,2,2
165,HC_INT,n0,1,1/2,1,0,1,1
167,HC_DEEP,n0,1/4,1,4,0,4,4
170,HASH,n0,1/16,1/2,8,0,8,8
170,HASH,n2,1/3,1/16,2,0,2,2
177,HC_NONINT,n0,1/10,4/25,3,0,3,3
184,HASH,n0,147/1000,1/2,5,0,5,5
191,HC_NONINT,n0,1/3,3/10,2,0,2,2
193,HC_INT,n0,2/5,1/100,1,0,1,1
198,HASH,n0,1/8,2/5,4,0,4,4
205,HC_NONINT,n0,1/10,1/3,4,0,4,4
212,HASH,n0,1/2,4/25,2,0,2,2
226,HASH,n0,1/100,4/25,16,0,16,16
226,HASH,n1,1/100,4/25,16,0,16,16
226,HASH,n2,1/100,4/25,16,0,16,16
233,HC_NONINT,n0,5/8,1/100,2,0,2,2
235,HC_INT,n5,1/4,1/4,1,0,1,1
240,HASH,n0,1,2/3,2,0,2,2
254,HASH,n0,147/1000,1/2,5,0,5,5
254,HASH,n4,147/1000,1/2,5,0,5,5
268,HASH,n0,1/100,147/1000,16,0,16,16
277,HC_INT,n0,2/5,1/5,1,0,1,1
282,HASH,n0,1/16,1,16,0,16,16
289,HC_NONINT,n0,2/5,3/10,2,0,2,2
293,HC_DEEP,n0,1/4,1/8,1,0,1,1
296,HASH,n0,1/8,3/8,3,0,3,3
296,HASH,n1,1/8,3/8,3,0,3,3
310,HASH,n0,3/8,1/10,2,0,2,2
318,HC_SHIFT_UNDER_HASH,n5,1/8,1/3,4,0,4,4
324,HASH,n0,1/10,1/3,4,0,4,4
324,HASH,n4,1/10,1/3,4,0,4,4
332,HC_SHIFT_UNDER_HASH,n0,2/5,3/10,2,0,2,2
338,HASH,n0,1/5,1/2,3,0,3,3
352,HASH,n0,1,2/3,2,0,2,2
352,HASH,n2,1,2/3,2,0,2,2
359,HC_NONINT,n0,1/5,147/1000,2,0,2,2
366,HASH,n0,1/3,4/25,2,0,2,2
375,HC_INT,n3,5/8,1/16,1,0,1,1
377,HC_DEEP,n1,5/8,2/3,2,0,2,2
380,HASH,n0,3/10,1/10,1,0,1,1
387,HC_NONINT,n0,2/5,3/10,2,0,2,2
389,HC_INT,n0,1/4,1/8,1,0,1,1
394,HASH,n0,2/3,1,2,0,2,2
394,HASH,n1,2/3,1,2,0,2,2
401,HC_NONINT,n1,1,2/5,2,0,2,2
408,HASH,n0,4/25,1/16,2,0,2,2
415,HC_NONINT,n0,1/10,1/10,1,0,1,1
417,HC_INT,n0,1/8,1/3,4,0,4,4
