plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
0,PASS,HC_SINGLE,1,n0,PASS,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
1,SHIFT,,1,n0,SHIFT,3/8,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
2,HASH,"HC_DEEP,HC_NONINT",4,n0,HASH,3/20,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
2,HASH,"HC_DEEP,HC_NONINT",4,n1,HASH,3/11,4,4,4,4,4,4,1,1,1,1,0,3,0,4,1,
2,HASH,"HC_DEEP,HC_NONINT",4,n2,HASH,3/11,4,4,4,4,4,4,1,1,1,1,0,3,0,4,1,
2,HASH,"HC_DEEP,HC_NONINT",4,n3,HASH,3/31,15,14,15,15,15,15,0,1,0,1,12,14,0,2,0,
3,ADD,,1,n0,ADD,1/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
4,SUB,,1,n0,SUB,3/10,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
5,THETA,,3,n0,THETA,3/5,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
5,THETA,,3,n1,THETA,9/10,2,1,2,2,2,2,0,1,0,1,1,2,0,0,-1,
5,THETA,,3,n2,THETA,2/3,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
6,NTHETA,HC_DEEP,6,n0,NTHETA,1/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
6,NTHETA,HC_DEEP,6,n1,NTHETA,2/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
6,NTHETA,HC_DEEP,6,n2,NTHETA,5/9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
6,NTHETA,HC_DEEP,6,n3,NTHETA,2/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
6,NTHETA,HC_DEEP,6,n4,NTHETA,16/25,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
6,NTHETA,HC_DEEP,6,n5,NTHETA,4/9,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
7,AGSE,HC_DEEP,5,n0,AGSE,1/48,5,5,6,5,5,5,1,0,1,0,0,5,0,5,0,
7,AGSE,HC_DEEP,5,n1,AGSE,1/24,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
7,AGSE,HC_DEEP,5,n2,AGSE,1/48,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
7,AGSE,HC_DEEP,5,n3,AGSE,1/24,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
7,AGSE,HC_DEEP,5,n4,AGSE,1/72,8,8,10,8,8,9,1,0,1,0,6,8,0,2,0,
8,REDUCE,,1,n0,REDUCE,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
9,HC_NONINT,"HC_DEEP,HC_NONINT",5,n0,HASH,2/11,2,2,2,2,2,2,1,1,1,1,0,1,0,2,1,
9,HC_NONINT,"HC_DEEP,HC_NONINT",5,n1,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
9,HC_NONINT,"HC_DEEP,HC_NONINT",5,n2,PASS,1/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
9,HC_NONINT,"HC_DEEP,HC_NONINT",5,n3,SHIFT,1/3,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
9,HC_NONINT,"HC_DEEP,HC_NONINT",5,n4,AGSE,1/9,4,4,5,4,4,4,1,0,1,0,0,4,0,4,0,
10,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n0,SUB,4/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
10,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n1,HASH,4/7,5,2,3,5,2,2,0,0,1,0,0,2,0,2,0,
10,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n2,SHIFT,4/3,2,1,2,2,1,1,0,1,1,0,1,1,0,0,0,
10,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n3,HASH,1/3,1,1,2,1,1,1,1,0,1,0,0,1,0,1,0,
10,HC_SHIFT_UNDER_HASH,"HC_DEEP,HC_INT,HC_NONINT,HC_SHIFT_UNDER_HASH",5,n4,HASH,4/15,14,9,15,14,9,14,0,0,1,0,5,9,0,4,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n0,SHIFT,2/3,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n1,HASH,1/3,4,4,7,4,4,6,1,0,1,0,4,4,0,0,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n2,PASS,2/3,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n3,AGSE,1/3,6,6,11,6,6,10,1,0,1,0,4,6,0,2,0,
11,HC_INT,"HC_DEEP,HC_INT,HC_SHIFT_UNDER_HASH",5,n4,PASS,2/3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
12,HC_SINGLE,HC_SINGLE,1,n0,REDUCE,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
13,HC_DEEP,"HC_DEEP,HC_NONINT",4,n0,HASH,6/25,3,3,3,3,3,3,1,1,1,1,0,2,0,3,1,
13,HC_DEEP,"HC_DEEP,HC_NONINT",4,n1,SUB,4/3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
13,HC_DEEP,"HC_DEEP,HC_NONINT",4,n2,ADD,6/25,3,3,4,3,3,3,1,0,1,0,3,3,0,0,0,
13,HC_DEEP,"HC_DEEP,HC_NONINT",4,n3,THETA,5/8,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
14,PASS,,2,n0,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
14,PASS,,2,n1,PASS,147/1000,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,
15,SHIFT,,2,n0,SHIFT,1/5,2,2,3,2,2,2,1,0,1,0,2,2,0,0,0,
15,SHIFT,,2,n1,SHIFT,1/5,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
16,HASH,HC_NONINT,1,n0,HASH,3/38,2,2,2,2,2,2,1,1,1,1,0,1,1,2,1,2
17,ADD,HC_DEEP,5,n0,ADD,1/3,2,2,3,2,2,2,1,0,1,0,0,2,0,2,0,
17,ADD,HC_DEEP,5,n1,ADD,1/3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,
17,ADD,HC_DEEP,5,n2,ADD,1/3,1,1,2,1,1,1,1,0,1,0,1,1,0,0,0,
17,ADD,HC_DEEP,5,n3,ADD,1/3,2,2,4,2,2,3,1,0,1,0,2,2,0,0,0,
17,ADD,HC_DEEP,5,n4,ADD,1/3,2,2,3,2,2,2,1,0,1,0,1,2,0,1,0,
18,SUB,,1,n0,SUB,3,1,0,0,1,1,1,0,0,0,0,0,1,0,0,-1,
19,THETA,,1,n0,THETA,6/5,1,0,1,1,1,1,0,1,0,1,0,1,0,0,-1,
20,NTHETA,HC_DEEP,5,n0,NTHETA,1/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
