plan,stratum,consumer,kind,child,child_declared,needed,provided,deficit
1,SHIFT,n0,SHIFT,s0,1,3,3,0
2,HASH,n0,HASH,s0,1,1,5,-4
2,HASH,n0,HASH,s2,1,2,4,-2
2,HASH,n1,HASH,s1,1,1,4,-3
2,HASH,n1,HASH,s0,1,4,5,-1
2,HASH,n2,HASH,s1,1,1,4,-3
2,HASH,n2,HASH,s0,1,4,5,-1
2,HASH,n3,HASH,n1,0,1,4,-3
2,HASH,n3,HASH,n0,0,9,10,-1
3,ADD,n0,ADD,s1,1,4,4,0
3,ADD,n0,ADD,s0,1,4,4,0
4,SUB,n0,SUB,s0,1,5,5,0
5,THETA,n0,THETA,s1,1,2,4,-2
5,THETA,n1,THETA,n0,0,3,4,-1
5,THETA,n2,THETA,s0,1,3,4,-1
6,NTHETA,n0,NTHETA,s0,1,2,4,-2
6,NTHETA,n1,NTHETA,s0,1,2,4,-2
6,NTHETA,n2,NTHETA,n0,0,2,4,-2
6,NTHETA,n3,NTHETA,n1,0,2,4,-2
6,NTHETA,n4,NTHETA,n1,0,2,4,-2
6,NTHETA,n5,NTHETA,n0,0,2,4,-2
7,AGSE,n0,AGSE,s0,1,4,4,0
7,AGSE,n1,AGSE,s0,1,4,4,0
7,AGSE,n2,AGSE,s0,1,4,4,0
7,AGSE,n3,AGSE,n1,0,1,1,0
7,AGSE,n4,AGSE,n2,0,2,3,-1
9,HC_NONINT,n0,HASH,s0,1,1,4,-3
9,HC_NONINT,n0,HASH,s2,1,2,4,-2
9,HC_NONINT,n3,SHIFT,s0,1,2,4,-2
9,HC_NONINT,n4,AGSE,s0,1,4,4,0
10,HC_SHIFT_UNDER_HASH,n0,SUB,s0,1,7,7,0
10,HC_SHIFT_UNDER_HASH,n1,HASH,n0,0,1,4,-3
10,HC_SHIFT_UNDER_HASH,n1,HASH,s1,1,4,5,-1
10,HC_SHIFT_UNDER_HASH,n2,SHIFT,n0,0,2,4,-2
10,HC_SHIFT_UNDER_HASH,n3,HASH,s0,1,1,7,-6
10,HC_SHIFT_UNDER_HASH,n3,HASH,s1,1,1,5,-4
10,HC_SHIFT_UNDER_HASH,n4,HASH,n2,0,1,4,-3
10,HC_SHIFT_UNDER_HASH,n4,HASH,n3,0,11,13,-2
11,HC_INT,n0,SHIFT,s1,1,3,4,-1
