plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
0,PASS,HC_SINGLE,1,n0,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
1,SHIFT,HC_SINGLE,1,n0,SHIFT,2/5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
2,HASH,HC_NONINT,1,n0,HASH,1/18,8,8,9,8,8,8,1,0,1,0,0,0,0,0,1,1,8,8,1,0,8,1,8,0,8
3,ADD,,3,n0,ADD,4/25,4,4,4,4,4,4,1,1,1,1,0,0,0,0,1,1,4,4,1,0,4,0,4,0,
3,ADD,,3,n1,ADD,4/25,4,4,4,4,4,4,1,1,1,1,0,0,0,0,1,1,4,4,1,0,4,0,4,0,
3,ADD,,3,n2,ADD,4/25,4,4,4,4,4,4,1,1,1,1,0,0,0,0,1,1,4,4,1,0,4,0,4,0,
4,SUB,,3,n0,SUB,5/2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
4,SUB,,3,n1,SUB,5/4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
4,SUB,,3,n2,SUB,25/8,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
5,THETA,HC_DEEP,6,n0,THETA,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
5,THETA,HC_DEEP,6,n1,THETA,3/4,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,-1,
5,THETA,HC_DEEP,6,n2,THETA,5/4,2,1,2,2,1,2,0,1,1,1,0,0,0,0,1,1,2,1,0,0,1,0,1,0,
5,THETA,HC_DEEP,6,n3,THETA,3/4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
5,THETA,HC_DEEP,6,n4,THETA,9/8,2,1,2,2,1,2,0,1,1,1,0,0,0,0,1,1,2,1,0,0,1,0,1,0,
5,THETA,HC_DEEP,6,n5,THETA,5/3,3,2,3,3,2,3,0,1,1,1,0,0,0,0,1,1,3,2,0,1,2,0,1,0,
6,NTHETA,HC_DEEP,4,n0,NTHETA,3/5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
