plan,stratum,consumer,child,needed,provided,status,detail
7,AGSE,n0,s2,6,5,zgodne,
21,AGSE,n0,s0,4,3,zgodne,
35,AGSE,n0,s1,9,8,zgodne,
39,HC_INT,n0,s0,7,6,zgodne,
40,HC_SINGLE,n2,s1,5,4,zgodne,
49,AGSE,n0,s1,6,5,zgodne,
63,AGSE,n0,s0,4,3,zgodne,
77,AGSE,n0,s2,4,3,zgodne,
91,AGSE,n0,s2,5,4,poza budżetem,
96,HC_SINGLE,n0,s2,5,4,zgodne,
105,AGSE,n0,s0,5,4,zgodne,
111,HC_DEEP,n0,s0,3,2,zgodne,
119,AGSE,n0,s0,4,3,zgodne,
124,HC_SINGLE,n1,s1,4,3,zgodne,
133,AGSE,n2,s0,5,4,zgodne,
138,HC_SINGLE,n0,s1,4,3,zgodne,
147,AGSE,n0,s0,4,3,zgodne,
161,AGSE,n0,s2,8,7,zgodne,
163,HC_NONINT,n1,s0,6,5,zgodne,
175,AGSE,n0,s0,4,3,zgodne,
177,HC_NONINT,n1,s1,5,4,zgodne,
179,HC_INT,n0,s0,4,3,zgodne,
189,AGSE,n0,s0,4,3,zgodne,
191,HC_NONINT,n3,s0,4,3,poza budżetem,
195,HC_DEEP,n1,s1,4,3,poza budżetem,
203,AGSE,n0,s1,4,3,zgodne,
217,AGSE,n2,s1,6,5,zgodne,
222,HC_SINGLE,n0,s0,3,2,zgodne,
231,AGSE,n0,s0,4,3,zgodne,
235,HC_INT,n0,s1,6,5,zgodne,
245,AGSE,n0,s0,4,3,zgodne,
259,AGSE,n0,s1,4,3,zgodne,
261,HC_NONINT,n1,s1,5,4,poza budżetem,
265,HC_DEEP,n0,s0,7,6,zgodne,
273,AGSE,n0,s1,6,5,zgodne,
287,AGSE,n0,s0,4,3,zgodne,
301,AGSE,n0,s0,4,3,zgodne,
303,HC_NONINT,n0,s0,4,3,zgodne,
305,HC_INT,n0,s1,7,6,zgodne,
315,AGSE,n1,s0,5,4,zgodne,
317,HC_NONINT,n0,s2,4,3,zgodne,
320,HC_SINGLE,n0,s2,4,3,zgodne,
329,AGSE,n2,s0,5,4,zgodne,
331,HC_NONINT,n3,s1,6,5,zgodne,
332,HC_SHIFT_UNDER_HASH,n0,s1,7,6,zgodne,
343,AGSE,n0,s0,5,4,zgodne,
347,HC_INT,n0,s0,6,5,zgodne,
357,AGSE,n0,s0,4,3,zgodne,
371,AGSE,n0,s0,4,3,zgodne,
376,HC_SINGLE,n0,s0,3,2,zgodne,
385,AGSE,n2,s1,4,3,zgodne,
399,AGSE,n0,s0,4,3,zgodne,
403,HC_INT,n0,s0,9,8,zgodne,
413,AGSE,n0,s0,4,3,zgodne,
416,HC_SHIFT_UNDER_HASH,n0,s1,4,3,zgodne,
418,HC_SINGLE,n1,s0,3,2,zgodne,
427,AGSE,n0,s1,8,7,poza budżetem,
441,AGSE,n0,s1,5,4,zgodne,
455,AGSE,n0,s2,4,3,zgodne,
460,HC_SINGLE,n0,s0,4,3,zgodne,
