plan,stratum,consumer,kind,child,child_declared,needed,provided,deficit
1,SHIFT,n0,SHIFT,s0,1,9,9,0
2,HASH,n0,HASH,s1,1,1,4,-3
2,HASH,n0,HASH,s0,1,3,5,-2
2,HASH,n1,HASH,s0,1,2,5,-3
2,HASH,n1,HASH,n0,0,1,4,-3
2,HASH,n2,HASH,s0,1,2,5,-3
2,HASH,n2,HASH,n1,0,1,4,-3
2,HASH,n3,HASH,n0,0,1,4,-3
2,HASH,n3,HASH,s0,1,4,5,-1
2,HASH,n4,HASH,s1,1,1,4,-3
2,HASH,n4,HASH,n1,0,2,4,-2
3,ADD,n0,ADD,s0,1,4,4,0
3,ADD,n0,ADD,s1,1,4,4,0
4,SUB,n0,SUB,s0,1,6,6,0
5,THETA,n0,THETA,s0,1,2,4,-2
5,THETA,n1,THETA,n0,0,2,5,-3
5,THETA,n2,THETA,n1,0,5,6,-1
5,THETA,n3,THETA,n2,0,4,5,-1
5,THETA,n4,THETA,n0,0,3,5,-2
5,THETA,n5,THETA,n3,0,2,4,-2
6,NTHETA,n0,NTHETA,s0,1,2,4,-2
6,NTHETA,n1,NTHETA,s0,1,2,4,-2
7,AGSE,n0,AGSE,s0,1,8,7,1
9,HC_NONINT,n0,AGSE,s1,1,4,4,0
9,HC_NONINT,n1,HASH,n0,0,1,4,-3
9,HC_NONINT,n1,HASH,s1,1,1,4,-3
9,HC_NONINT,n2,HASH,n1,0,2,4,-2
9,HC_NONINT,n2,HASH,n0,0,2,4,-2
10,HC_SHIFT_UNDER_HASH,n1,SHIFT,s0,1,3,4,-1
10,HC_SHIFT_UNDER_HASH,n2,HASH,s0,1,1,4,-3
10,HC_SHIFT_UNDER_HASH,n2,HASH,n1,0,1,4,-3
11,HC_INT,n0,SUB,s1,1,4,4,0
11,HC_INT,n1,AGSE,n0,0,2,2,0
11,HC_INT,n2,SHIFT,s0,1,3,4,-1
11,HC_INT,n4,HASH,s0,1,1,4,-3
11,HC_INT,n4,HASH,n2,0,1,4,-3
13,HC_DEEP,n0,SUB,s0,1,8,8,0
13,HC_DEEP,n2,SUB,s0,1,7,8,-1
13,HC_DEEP,n3,AGSE,s0,1,4,8,-4
13,HC_DEEP,n4,SHIFT,n0,0,3,3,0
13,HC_DEEP,n5,AGSE,n3,0,3,3,0
15,SHIFT,n0,SHIFT,s0,1,9,9,0
15,SHIFT,n1,SHIFT,n0,0,4,4,0
16,HASH,n0,HASH,s1,1,1,4,-3
16,HASH,n0,HASH,s0,1,1,4,-3
16,HASH,n1,HASH,n0,0,1,4,-3
16,HASH,n1,HASH,s1,1,2,4,-2
17,ADD,n0,ADD,s2,1,5,9,-4
17,ADD,n0,ADD,s1,1,3,3,0
17,ADD,n1,ADD,s2,1,9,9,0
17,ADD,n1,ADD,s0,1,4,4,0
17,ADD,n2,ADD,n1,0,1,1,0
17,ADD,n2,ADD,s0,1,4,4,0
17,ADD,n3,ADD,n2,0,1,1,0
17,ADD,n3,ADD,s0,1,4,4,0
18,SUB,n0,SUB,s2,1,4,4,0
18,SUB,n1,SUB,s0,1,7,7,0
18,SUB,n2,SUB,n0,0,4,2,2
19,THETA,n0,THETA,s0,1,2,4,-2
19,THETA,n1,THETA,s1,1,3,4,-1
19,THETA,n2,THETA,s2,1,2,4,-2
20,NTHETA,n0,NTHETA,s0,1,2,4,-2
20,NTHETA,n1,NTHETA,s0,1,2,4,-2
20,NTHETA,n2,NTHETA,s0,1,2,4,-2
20,NTHETA,n3,NTHETA,n2,0,2,4,-2
20,NTHETA,n4,NTHETA,s0,1,2,4,-2
21,AGSE,n0,AGSE,s0,1,6,5,1
21,AGSE,n1,AGSE,s1,1,6,5,1
21,AGSE,n2,AGSE,s0,1,3,5,-2
21,AGSE,n3,AGSE,n2,0,2,2,0
