plan,stratum,node,delta_a,delta_b,oracle,local_a,deficit,form
2,HASH,n0,4/25,4/25,1,0,1,1
2,HASH,n1,4/25,4/25,1,0,1,1
9,HC_NONINT,n0,147/1000,5/8,6,0,6,6
10,HC_SHIFT_UNDER_HASH,n0,1/10,147/1000,3,0,3,3
11,HC_INT,n0,1/8,1/8,1,0,1,1
16,HASH,n0,1,1/16,1,0,1,1
23,HC_NONINT,n0,1/16,1,16,0,16,16
23,HC_NONINT,n2,1,1/16,1,0,1,1
25,HC_INT,n0,1/4,1/2,2,0,2,2
30,HASH,n0,5/8,1/4,2,0,2,2
30,HASH,n1,5/8,1/4,2,0,2,2
37,HC_NONINT,n2,1/3,1,3,0,3,3
44,HASH,n0,2/3,1/8,2,0,2,2
51,HC_NONINT,n0,2/3,5/8,2,0,2,2
53,HC_INT,n0,1/2,1/2,1,0,1,1
58,HASH,n0,1,1/3,1,0,1,1
65,HC_NONINT,n0,1/8,2/5,4,0,4,4
72,HASH,n0,1/3,1/3,1,0,1,1
79,HC_NONINT,n0,1/16,1,16,0,16,16
86,HASH,n0,1/10,5/8,7,0,7,7
93,HC_NONINT,n0,1/100,4/25,16,0,16,16
95,HC_INT,n0,2/3,2/3,1,0,1,1
97,HC_DEEP,n0,4/25,1/100,1,0,1,1
100,HASH,n0,1/16,2/5,8,0,8,8
107,HC_NONINT,n0,1/3,3/8,2,0,2,2
114,HASH,n0,1/16,2/3,12,0,12,12
123,HC_INT,n1,1,1/16,1,0,1,1
128,HASH,n0,147/1000,147/1000,1,0,1,1
128,HASH,n2,147/1000,147/1000,1,0,1,1
135,HC_NONINT,n0,147/1000,1/10,2,0,2,2
139,HC_DEEP,n2,1/4,1/10,2,0,2,2
142,HASH,n0,1/100,1/4,25,0,25,25
149,HC_NONINT,n0,2/3,3/10,2,0,2,2
150,HC_SHIFT_UNDER_HASH,n1,1/5,2/3,4,0,4,4
151,HC_INT,n0,1,1,1,0,1,1
151,HC_INT,n1,1,1/4,1,0,1,1
156,HASH,n0,2/3,4/25,2,0,2,2
156,HASH,n1,2/3,4/25,2,0,2,2
163,HC_NONINT,n0,1/16,2/3,12,0,12,12
165,HC_INT,n0,1/100,1/5,20,0,20,20
165,HC_INT,n1,1/5,1/100,1,0,1,1
170,HASH,n0,2/3,1/10,2,0,2,2
179,HC_INT,n0,5/8,1/4,2,0,2,2
184,HASH,n0,1/10,147/1000,3,0,3,3
191,HC_NONINT,n0,1/8,1/5,3,0,3,3
198,HASH,n0,1/10,3/10,3,0,3,3
205,HC_NONINT,n2,1/10,2/3,8,0,8,8
207,HC_INT,n1,1,1,1,0,1,1
212,HASH,n0,1/5,2/3,4,0,4,4
212,HASH,n1,4/25,1/5,2,0,2,2
220,HC_SHIFT_UNDER_HASH,n3,1/100,2/5,40,0,40,40
221,HC_INT,n0,1/10,1/10,1,0,1,1
226,HASH,n0,3/10,2/3,4,0,4,4
233,HC_NONINT,n0,1/4,1/3,2,0,2,2
233,HC_NONINT,n1,2/5,1/3,2,0,2,2
233,HC_NONINT,n5,2/5,1/3,2,0,2,2
235,HC_INT,n0,1/2,1/4,1,0,1,1
240,HASH,n0,1,1/5,1,0,1,1
247,HC_NONINT,n1,1/10,3/10,3,0,3,3
254,HASH,n0,2/3,1/8,2,0,2,2
254,HASH,n1,2/3,2/3,1,0,1,1
261,HC_NONINT,n0,1/3,1/16,2,0,2,2
263,HC_INT,n0,4/25,1/100,1,0,1,1
268,HASH,n0,1/8,147/1000,3,0,3,3
268,HASH,n1,3/10,147/1000,2,0,2,2
282,HASH,n0,1/10,1/10,1,0,1,1
289,HC_NONINT,n1,1/100,147/1000,16,0,16,16
290,HC_SHIFT_UNDER_HASH,n1,1/16,2/3,12,0,12,12
296,HASH,n0,5/8,3/10,2,0,2,2
296,HASH,n1,5/8,3/10,2,0,2,2
305,HC_INT,n0,1/100,1,100,0,100,100
310,HASH,n0,1,147/1000,2,0,2,2
310,HASH,n1,147/1000,1,8,0,8,8
324,HASH,n0,5/8,2/5,2,0,2,2
331,HC_NONINT,n0,1/8,5/8,5,0,5,5
338,HASH,n0,2/5,1/5,1,0,1,1
352,HASH,n0,1/10,2/3,8,0,8,8
352,HASH,n1,3/10,1/10,1,0,1,1
359,HC_NONINT,n0,5/8,3/10,2,0,2,2
360,HC_SHIFT_UNDER_HASH,n0,1/8,1/8,1,0,1,1
363,HC_DEEP,n0,1/4,1/5,2,0,2,2
366,HASH,n0,1/2,1/8,1,0,1,1
373,HC_NONINT,n0,5/8,1/10,2,0,2,2
380,HASH,n0,1,2/5,2,0,2,2
387,HC_NONINT,n0,3/10,1/2,3,0,3,3
389,HC_INT,n0,3/8,1/16,1,0,1,1
394,HASH,n0,1/2,2/3,2,0,2,2
394,HASH,n1,1/2,2/3,2,0,2,2
394,HASH,n2,2/3,1/2,2,0,2,2
401,HC_NONINT,n1,3/10,1/8,2,0,2,2
403,HC_INT,n0,1/10,1/10,1,0,1,1
408,HASH,n0,1/8,3/8,3,0,3,3
408,HASH,n2,1/8,3/8,3,0,3,3
415,HC_NONINT,n0,147/1000,1/3,4,0,4,4
415,HC_NONINT,n2,1/3,147/1000,2,0,2,2
422,HASH,n0,1,1/8,1,0,1,1
422,HASH,n3,1,1/8,1,0,1,1
436,HASH,n0,1/16,1/2,8,0,8,8
436,HASH,n4,1/2,1/16,1,0,1,1
443,HC_NONINT,n1,1/8,1/4,2,0,2,2
450,HASH,n0,2/3,1/3,1,0,1,1
464,HASH,n0,147/1000,1/100,2,0,2,2
464,HASH,n2,147/1000,1/100,2,0,2,2
471,HC_NONINT,n0,2/5,1/5,1,0,1,1
471,HC_NONINT,n2,1/5,2/5,2,0,2,2
473,HC_INT,n0,3/10,1/100,1,0,1,1
478,HASH,n0,2/5,3/10,2,0,2,2
478,HASH,n1,2/5,3/10,2,0,2,2
478,HASH,n3,2/5,3/10,2,0,2,2
485,HC_NONINT,n0,1/100,1/8,13,0,13,13
492,HASH,n0,1/8,3/10,4,0,4,4
499,HC_NONINT,n0,2/3,5/8,2,0,2,2
506,HASH,n0,1/4,1/3,2,0,2,2
513,HC_NONINT,n0,1/8,3/8,3,0,3,3
515,HC_INT,n1,1/4,1/100,1,0,1,1
520,HASH,n0,2/3,1/2,2,0,2,2
527,HC_NONINT,n0,147/1000,1/3,4,0,4,4
527,HC_NONINT,n1,1/100,147/1000,16,0,16,16
527,HC_NONINT,n3,1/3,147/1000,2,0,2,2
534,HASH,n0,2/5,1/5,1,0,1,1
534,HASH,n3,1/5,2/5,2,0,2,2
548,HASH,n0,1/8,2/5,4,0,4,4
555,HC_NONINT,n0,1/16,1/4,4,0,4,4
557,HC_INT,n1,1/5,1/5,1,0,1,1
562,HASH,n0,5/8,1,3,0,3,3
571,HC_INT,n1,1/5,1/10,1,0,1,1
576,HASH,n0,1,1/4,1,0,1,1
576,HASH,n2,1/4,1,4,0,4,4
583,HC_NONINT,n2,1,2/5,2,0,2,2
