family	block	q	order	profile
F9-R2	1	1	1	NO_R1_FACTOR
F9-R2	1	1	2	NO_R1_NO_R2
F9-R2	1	1	3	DEFAULT
F9-R2	1	1	4	NO_R2_CANON
F9-R2	1	2	1	DEFAULT
F9-R2	1	2	2	NO_R1_FACTOR
F9-R2	1	2	3	NO_R2_CANON
F9-R2	1	2	4	NO_R1_NO_R2
F9-R2	1	4	1	NO_R1_FACTOR
F9-R2	1	4	2	DEFAULT
F9-R2	1	4	3	NO_R2_CANON
F9-R2	1	4	4	NO_R1_NO_R2
F9-R2	1	8	1	DEFAULT
F9-R2	1	8	2	NO_R2_CANON
F9-R2	1	8	3	NO_R1_FACTOR
F9-R2	1	8	4	NO_R1_NO_R2
F9-R2	1	16	1	DEFAULT
F9-R2	1	16	2	NO_R2_CANON
F9-R2	1	16	3	NO_R1_FACTOR
F9-R2	1	16	4	NO_R1_NO_R2
F9-R2	1	32	1	DEFAULT
F9-R2	1	32	2	NO_R1_NO_R2
F9-R2	1	32	3	NO_R1_FACTOR
F9-R2	1	32	4	NO_R2_CANON
F9-R2	2	1	1	DEFAULT
F9-R2	2	1	2	NO_R1_NO_R2
F9-R2	2	1	3	NO_R1_FACTOR
F9-R2	2	1	4	NO_R2_CANON
F9-R2	2	2	1	NO_R1_FACTOR
F9-R2	2	2	2	DEFAULT
F9-R2	2	2	3	NO_R2_CANON
F9-R2	2	2	4	NO_R1_NO_R2
F9-R2	2	4	1	NO_R2_CANON
F9-R2	2	4	2	DEFAULT
F9-R2	2	4	3	NO_R1_NO_R2
F9-R2	2	4	4	NO_R1_FACTOR
F9-R2	2	8	1	NO_R1_NO_R2
F9-R2	2	8	2	DEFAULT
F9-R2	2	8	3	NO_R2_CANON
F9-R2	2	8	4	NO_R1_FACTOR
F9-R2	2	16	1	NO_R1_NO_R2
F9-R2	2	16	2	NO_R2_CANON
F9-R2	2	16	3	NO_R1_FACTOR
F9-R2	2	16	4	DEFAULT
F9-R2	2	32	1	NO_R2_CANON
