family	variant	q	node	unit_weight
F9-X	natural	8	SUB:m1:hash_AB	1.0000
F9-X	natural	8	SUB:m1:hash_CD	1.0000
F9-X	natural	8	SUB:m1:shift_A	0.6667
F9-X	natural	8	SUB:m1:shift_B	0.3333
F9-X	natural	8	SUB:m1:shift_C	0.6667
F9-X	natural	8	SUB:m1:shift_D	0.3333
F9-X	natural	8	SUB:m2:hash_AB	1.0000
F9-X	natural	8	SUB:m2:hash_CD	1.0000
F9-X	natural	8	SUB:m2:shift_A	0.6667
F9-X	natural	8	SUB:m2:shift_B	0.3333
F9-X	natural	8	SUB:m2:shift_C	0.6667
F9-X	natural	8	SUB:m2:shift_D	0.3333
F9-X	natural	8	SUB:m3:hash_AB	1.0000
F9-X	natural	8	SUB:m3:hash_CD	1.0000
F9-X	natural	8	SUB:m3:shift_AB	1.0000
F9-X	natural	8	SUB:m3:shift_CD	1.0000
F9-X	natural	8	SUB:m4:hash_AB	1.0000
F9-X	natural	8	SUB:m4:hash_CD	1.0000
F9-X	natural	8	SUB:m4:shift_AB	1.0000
F9-X	natural	8	SUB:m4:shift_CD	1.0000
F9-X	natural	8	SUB:m5:hash_AB	1.0000
F9-X	natural	8	SUB:m5:hash_CD	1.0000
F9-X	natural	8	SUB:m5:shift_A	0.6667
F9-X	natural	8	SUB:m5:shift_B	0.3333
F9-X	natural	8	SUB:m5:shift_C	0.6667
F9-X	natural	8	SUB:m5:shift_D	0.3333
F9-X	natural	8	SUB:m6:hash_AB	1.0000
F9-X	natural	8	SUB:m6:hash_CD	1.0000
F9-X	natural	8	SUB:m6:shift_A	0.6667
F9-X	natural	8	SUB:m6:shift_B	0.3333
F9-X	natural	8	SUB:m6:shift_C	0.6667
F9-X	natural	8	SUB:m6:shift_D	0.3333
F9-X	natural	8	SUB:m7:hash_AB	1.0000
F9-X	natural	8	SUB:m7:hash_CD	1.0000
F9-X	natural	8	SUB:m7:shift_AB	1.0000
F9-X	natural	8	SUB:m7:shift_CD	1.0000
F9-X	natural	8	SUB:m8:hash_AB	1.0000
F9-X	natural	8	SUB:m8:hash_CD	1.0000
F9-X	natural	8	SUB:m8:shift_AB	1.0000
F9-X	natural	8	SUB:m8:shift_CD	1.0000
