family	variant	q	subplan_nodes	subplan_units_nh	public_stages	sinks	sources	stream_nodes	job_vertices	canonical_record_bytes
F9-R2	natural	1	1	0.6667	1	1	2	5	3	9
F9-R2	manual	1	1	0.6667	1	1	2	5	3	9
F9-R1	natural	1	2	1.0000	1	1	2	6	3	9
F9-R1	manual	1	1	1.0000	1	1	2	5	3	9
F9-X	natural	1	6	4.0000	1	1	4	12	7	9
F9-X	manual	1	5	5.0000	1	1	4	11	7	9
F9-R2	natural	2	2	1.3333	2	2	2	8	4	9
F9-R2	manual	2	1	0.6667	2	2	2	7	3	9
F9-R1	natural	2	4	2.0000	2	2	2	10	4	9
F9-R1	manual	2	1	1.0000	2	2	2	7	3	9
F9-X	natural	2	12	8.0000	2	2	4	20	10	9
F9-X	manual	2	5	5.0000	2	2	4	13	7	9
F9-R2	natural	4	4	2.6667	4	4	2	14	6	9
F9-R2	manual	4	1	0.6667	4	4	2	11	3	9
F9-R1	natural	4	6	4.0000	4	4	2	16	6	9
F9-R1	manual	4	1	1.0000	4	4	2	11	3	9
F9-X	natural	4	20	16.0000	4	4	4	32	16	9
F9-X	manual	4	5	5.0000	4	4	4	17	7	9
F9-R2	natural	8	8	5.3333	8	8	2	26	10	9
F9-R2	manual	8	1	0.6667	8	8	2	19	3	9
F9-R1	natural	8	12	8.0000	8	8	2	30	10	9
F9-R1	manual	8	1	1.0000	8	8	2	19	3	9
F9-X	natural	8	40	32.0000	8	8	4	60	28	9
F9-X	manual	8	5	5.0000	8	8	4	25	7	9
F9-R2	natural	16	16	10.6667	16	16	2	50	18	9
F9-R2	manual	16	1	0.6667	16	16	2	35	3	9
F9-R1	natural	16	24	16.0000	16	16	2	58	18	9
F9-R1	manual	16	1	1.0000	16	16	2	35	3	9
F9-X	natural	16	80	64.0000	16	16	4	116	52	9
F9-X	manual	16	5	5.0000	16	16	4	41	7	9
F9-R2	natural	32	32	21.3333	32	32	2	98	34	9
F9-R2	manual	32	1	0.6667	32	32	2	67	3	9
F9-R1	natural	32	48	32.0000	32	32	2	114	34	9
F9-R1	manual	32	1	1.0000	32	32	2	67	3	9
F9-X	natural	32	160	128.0000	32	32	4	228	100	9
F9-X	manual	32	5	5.0000	32	32	4	73	7	9
