family	variant	q	costly_program_tokens	costly_evals_nh	eval_calls_nh	eval_tokens_nh	hash_picks_nh	add_merges_nh
F9-R2	natural	1	8	0.6667	1.3333	6.0000	0.0000	0.6667
F9-R2	manual	1	8	0.6667	1.3333	6.0000	0.0000	0.6667
F9-R1	natural	1	3	1.0000	2.0000	4.0000	1.0000	0.0000
F9-R1	manual	1	3	1.0000	2.0000	4.0000	1.0000	0.0000
F9-X	natural	1	8	1.0000	5.0000	12.0000	2.0000	1.0000
F9-X	manual	1	8	1.0000	6.0000	13.0000	2.0000	1.0000
F9-R2	natural	2	8	1.3333	2.6667	12.0000	0.0000	1.3333
F9-R2	manual	2	8	0.6667	2.0000	6.6667	0.0000	0.6667
F9-R1	natural	2	3	2.0000	4.0000	8.0000	2.0000	0.0000
F9-R1	manual	2	3	2.0000	3.0000	7.0000	1.0000	0.0000
F9-X	natural	2	8	2.0000	10.0000	24.0000	4.0000	2.0000
F9-X	manual	2	8	1.0000	7.0000	14.0000	2.0000	1.0000
F9-R2	natural	4	8	2.6667	5.3333	24.0000	0.0000	2.6667
F9-R2	manual	4	8	0.6667	3.3333	8.0000	0.0000	0.6667
F9-R1	natural	4	3	4.0000	8.0000	16.0000	4.0000	0.0000
F9-R1	manual	4	3	4.0000	5.0000	13.0000	1.0000	0.0000
F9-X	natural	4	8	4.0000	20.0000	48.0000	8.0000	4.0000
F9-X	manual	4	8	1.0000	9.0000	16.0000	2.0000	1.0000
F9-R2	natural	8	8	5.3333	10.6667	48.0000	0.0000	5.3333
F9-R2	manual	8	8	0.6667	6.0000	10.6667	0.0000	0.6667
F9-R1	natural	8	3	8.0000	16.0000	32.0000	8.0000	0.0000
F9-R1	manual	8	3	8.0000	9.0000	25.0000	1.0000	0.0000
F9-X	natural	8	8	8.0000	40.0000	96.0000	16.0000	8.0000
F9-X	manual	8	8	1.0000	13.0000	20.0000	2.0000	1.0000
F9-R2	natural	16	8	10.6667	21.3333	96.0000	0.0000	10.6667
F9-R2	manual	16	8	0.6667	11.3333	16.0000	0.0000	0.6667
F9-R1	natural	16	3	16.0000	32.0000	64.0000	16.0000	0.0000
F9-R1	manual	16	3	16.0000	17.0000	49.0000	1.0000	0.0000
F9-X	natural	16	8	16.0000	80.0000	192.0000	32.0000	16.0000
F9-X	manual	16	8	1.0000	21.0000	28.0000	2.0000	1.0000
F9-R2	natural	32	8	21.3333	42.6667	192.0000	0.0000	21.3333
F9-R2	manual	32	8	0.6667	22.0000	26.6667	0.0000	0.6667
F9-R1	natural	32	3	32.0000	64.0000	128.0000	32.0000	0.0000
F9-R1	manual	32	3	32.0000	33.0000	97.0000	1.0000	0.0000
F9-X	natural	32	8	32.0000	160.0000	384.0000	64.0000	32.0000
F9-X	manual	32	8	1.0000	37.0000	44.0000	2.0000	1.0000
