family	profile	q	block	compute_median_ns	compute_p99_ns	slot_ns	lost_records
F9-R2	DEFAULT	1	1	108074	166017	40000000	0
F9-R2	NO_R1_FACTOR	1	1	107924	257738	40000000	0
F9-R2	NO_R1_NO_R2	1	1	107869	168016	40000000	0
F9-R2	NO_R2_CANON	1	1	107573	288515	40000000	0
F9-R2	DEFAULT	1	2	107758	173202	40000000	0
F9-R2	NO_R1_FACTOR	1	2	107813	160999	40000000	0
F9-R2	NO_R1_NO_R2	1	2	107684	166646	40000000	0
F9-R2	NO_R2_CANON	1	2	107869	163702	40000000	0
F9-R2	DEFAULT	1	3	107962	168146	40000000	0
F9-R2	NO_R1_FACTOR	1	3	108703	168480	40000000	0
F9-R2	NO_R1_NO_R2	1	3	107740	271831	40000000	0
F9-R2	NO_R2_CANON	1	3	107739	171609	40000000	0
F9-R2	DEFAULT	1	4	104037	157517	40000000	0
F9-R2	NO_R1_FACTOR	1	4	106981	250332	40000000	0
F9-R2	NO_R1_NO_R2	1	4	106092	167888	40000000	0
F9-R2	NO_R2_CANON	1	4	108499	161073	40000000	0
F9-R2	DEFAULT	1	5	107555	261311	40000000	0
F9-R2	NO_R1_FACTOR	1	5	107628	164479	40000000	0
F9-R2	NO_R1_NO_R2	1	5	106110	164035	40000000	0
F9-R2	NO_R2_CANON	1	5	107388	156072	40000000	0
F9-R2	DEFAULT	1	6	108110	178517	40000000	0
F9-R2	NO_R1_FACTOR	1	6	108221	169702	40000000	0
F9-R2	NO_R1_NO_R2	1	6	107443	172647	40000000	0
F9-R2	NO_R2_CANON	1	6	108573	172887	40000000	0
F9-R2	DEFAULT	1	7	106943	168053	40000000	0
F9-R2	NO_R1_FACTOR	1	7	108091	171869	40000000	0
F9-R2	NO_R1_NO_R2	1	7	107425	164072	40000000	0
F9-R2	NO_R2_CANON	1	7	107832	166128	40000000	0
F9-R2	DEFAULT	1	8	108351	183201	40000000	0
F9-R2	NO_R1_FACTOR	1	8	108554	177109	40000000	0
F9-R2	NO_R1_NO_R2	1	8	108758	177812	40000000	0
F9-R2	NO_R2_CANON	1	8	108758	177960	40000000	0
F9-R2	DEFAULT	1	9	108313	169664	40000000	0
F9-R2	NO_R1_FACTOR	1	9	109017	217812	40000000	0
F9-R2	NO_R1_NO_R2	1	9	108369	183035	40000000	0
F9-R2	NO_R2_CANON	1	9	109573	176924	40000000	0
F9-R2	DEFAULT	1	10	107869	166757	40000000	0
F9-R2	NO_R1_FACTOR	1	10	108295	167775	40000000	0
F9-R2	NO_R1_NO_R2	1	10	107462	179091	40000000	0
F9-R2	NO_R2_CANON	1	10	106943	163090	40000000	0
F9-R2	DEFAULT	1	11	108147	191461	40000000	0
F9-R2	NO_R1_FACTOR	1	11	108221	160590	40000000	0
F9-R2	NO_R1_NO_R2	1	11	106480	158165	40000000	0
F9-R2	NO_R2_CANON	1	11	104980	163184	40000000	0
F9-R2	DEFAULT	1	12	107055	143165	40000000	0
F9-R2	NO_R1_FACTOR	1	12	106295	173072	40000000	0
F9-R2	NO_R1_NO_R2	1	12	103758	159683	40000000	0
F9-R2	NO_R2_CANON	1	12	107443	167887	40000000	0
F9-R2	DEFAULT	1	13	106702	173238	40000000	0
F9-R2	NO_R1_FACTOR	1	13	109202	172998	40000000	0
F9-R2	NO_R1_NO_R2	1	13	107999	175628	40000000	0
F9-R2	NO_R2_CANON	1	13	108814	177295	40000000	0
F9-R2	DEFAULT	1	14	104295	172572	40000000	0
F9-R2	NO_R1_FACTOR	1	14	108276	169238	40000000	0
F9-R2	NO_R1_NO_R2	1	14	104869	165850	40000000	0
F9-R2	NO_R2_CANON	1	14	107480	171405	40000000	0
F9-R2	DEFAULT	1	15	109054	173313	40000000	0
F9-R2	NO_R1_FACTOR	1	15	108813	192868	40000000	0
F9-R2	NO_R1_NO_R2	1	15	108554	167757	40000000	0
F9-R2	NO_R2_CANON	1	15	109629	159831	40000000	0
F9-R2	DEFAULT	1	16	106776	165757	40000000	0
F9-R2	NO_R1_FACTOR	1	16	107906	165886	40000000	0
F9-R2	NO_R1_NO_R2	1	16	108054	173387	40000000	0
F9-R2	NO_R2_CANON	1	16	108129	185942	40000000	0
F9-R2	DEFAULT	1	17	107498	172146	40000000	0
F9-R2	NO_R1_FACTOR	1	17	105054	175276	40000000	0
F9-R2	NO_R1_NO_R2	1	17	106703	149517	40000000	0
F9-R2	NO_R2_CANON	1	17	104072	168313	40000000	0
F9-R2	DEFAULT	1	18	107832	182294	40000000	0
F9-R2	NO_R1_FACTOR	1	18	108925	168387	40000000	0
F9-R2	NO_R1_NO_R2	1	18	107517	169424	40000000	0
F9-R2	NO_R2_CANON	1	18	108332	178998	40000000	0
F9-R2	DEFAULT	1	19	107573	176554	40000000	0
F9-R2	NO_R1_FACTOR	1	19	107776	174683	40000000	0
F9-R2	NO_R1_NO_R2	1	19	108629	173850	40000000	0
F9-R2	NO_R2_CANON	1	19	109017	175294	40000000	0
F9-R2	DEFAULT	1	20	106776	174887	40000000	0
F9-R2	NO_R1_FACTOR	1	20	108684	173368	40000000	0
F9-R2	NO_R1_NO_R2	1	20	108092	185331	40000000	0
F9-R2	NO_R2_CANON	1	20	108109	174535	40000000	0
F9-R2	DEFAULT	2	1	255608	329757	40000000	0
F9-R2	NO_R1_FACTOR	2	1	256146	370738	40000000	0
F9-R2	NO_R1_NO_R2	2	1	259516	356200	40000000	0
F9-R2	NO_R2_CANON	2	1	254368	316775	40000000	0
F9-R2	DEFAULT	2	2	256701	434995	40000000	0
F9-R2	NO_R1_FACTOR	2	2	259831	327034	40000000	0
F9-R2	NO_R1_NO_R2	2	2	257238	325496	40000000	0
F9-R2	NO_R2_CANON	2	2	261645	360515	40000000	0
F9-R2	DEFAULT	2	3	262405	337756	40000000	0
F9-R2	NO_R1_FACTOR	2	3	262942	355922	40000000	0
F9-R2	NO_R1_NO_R2	2	3	260660	322826	40000000	0
F9-R2	NO_R2_CANON	2	3	261752	326973	40000000	0
F9-R2	DEFAULT	2	4	258794	315331	40000000	0
F9-R2	NO_R1_FACTOR	2	4	260960	337737	40000000	0
F9-R2	NO_R1_NO_R2	2	4	259387	391034	40000000	0
F9-R2	NO_R2_CANON	2	4	262238	372885	40000000	0
F9-R2	DEFAULT	2	5	262756	342181	40000000	0
F9-R2	NO_R1_FACTOR	2	5	260793	441772	40000000	0
F9-R2	NO_R1_NO_R2	2	5	258164	393254	40000000	0
F9-R2	NO_R2_CANON	2	5	262015	342107	40000000	0
F9-R2	DEFAULT	2	6	262942	352274	40000000	0
F9-R2	NO_R1_FACTOR	2	6	262812	340477	40000000	0
F9-R2	NO_R1_NO_R2	2	6	262127	338774	40000000	0
F9-R2	NO_R2_CANON	2	6	261220	318904	40000000	0
F9-R2	DEFAULT	2	7	264812	341533	40000000	0
F9-R2	NO_R1_FACTOR	2	7	260404	360700	40000000	0
F9-R2	NO_R1_NO_R2	2	7	261423	334755	40000000	0
F9-R2	NO_R2_CANON	2	7	263515	335811	40000000	0
F9-R2	DEFAULT	2	8	254571	358125	40000000	0
F9-R2	NO_R1_FACTOR	2	8	262386	338590	40000000	0
F9-R2	NO_R1_NO_R2	2	8	261572	335516	40000000	0
F9-R2	NO_R2_CANON	2	8	261887	338627	40000000	0
F9-R2	DEFAULT	2	9	262293	356272	40000000	0
F9-R2	NO_R1_FACTOR	2	9	261978	341736	40000000	0
F9-R2	NO_R1_NO_R2	2	9	261404	354421	40000000	0
F9-R2	NO_R2_CANON	2	9	263478	329051	40000000	0
F9-R2	DEFAULT	2	10	262663	343422	40000000	0
F9-R2	NO_R1_FACTOR	2	10	262385	367255	40000000	0
F9-R2	NO_R1_NO_R2	2	10	262089	354329	40000000	0
F9-R2	NO_R2_CANON	2	10	263811	338496	40000000	0
F9-R2	DEFAULT	2	11	261275	328126	40000000	0
F9-R2	NO_R1_FACTOR	2	11	262108	335237	40000000	0
F9-R2	NO_R1_NO_R2	2	11	260256	370718	40000000	0
F9-R2	NO_R2_CANON	2	11	264145	339514	40000000	0
F9-R2	DEFAULT	2	12	257904	325977	40000000	0
F9-R2	NO_R1_FACTOR	2	12	259960	337940	40000000	0
F9-R2	NO_R1_NO_R2	2	12	256756	334699	40000000	0
F9-R2	NO_R2_CANON	2	12	263978	338607	40000000	0
F9-R2	DEFAULT	2	13	261552	339458	40000000	0
F9-R2	NO_R1_FACTOR	2	13	260644	352773	40000000	0
F9-R2	NO_R1_NO_R2	2	13	259978	359809	40000000	0
F9-R2	NO_R2_CANON	2	13	262664	341459	40000000	0
F9-R2	DEFAULT	2	14	259682	331033	40000000	0
F9-R2	NO_R1_FACTOR	2	14	253608	325681	40000000	0
F9-R2	NO_R1_NO_R2	2	14	258904	341144	40000000	0
F9-R2	NO_R2_CANON	2	14	255590	355699	40000000	0
F9-R2	DEFAULT	2	15	254663	320940	40000000	0
F9-R2	NO_R1_FACTOR	2	15	260330	341718	40000000	0
F9-R2	NO_R1_NO_R2	2	15	263775	461680	40000000	0
