plan,stratum,hard_classes,depth,node,kind,delta,engine_tail,oracle_c1,oracle_c2,replica_tail,step_c1,step_c2,agree_c1,agree_c2,agree_step_c1,agree_step_c2,engine_origin,oracle_origin,replica_origin,step_origin,agree_origin,agree_step_origin,engine_silence,oracle_silence,agree_silence,local_a,local_b,h10b_eligible,divergence_a,divergence_b,predicted_form
0,PASS,HC_DEEP,6,n0,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,HC_DEEP,6,n1,PASS,1/5,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,HC_DEEP,6,n2,PASS,1/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,HC_DEEP,6,n3,PASS,1/5,0,0,3,0,0,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,HC_DEEP,6,n4,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
0,PASS,HC_DEEP,6,n5,PASS,5/8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
1,SHIFT,HC_SINGLE,3,n0,SHIFT,1/8,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,
1,SHIFT,HC_SINGLE,3,n1,SHIFT,1/8,0,0,0,0,0,0,1,1,1,1,8,8,8,8,1,1,8,8,1,0,0,0,0,0,
1,SHIFT,HC_SINGLE,3,n2,SHIFT,1/8,0,0,0,0,0,0,1,1,1,1,2,2,2,2,1,1,2,2,1,0,0,0,0,0,
2,HASH,HC_INT,1,n0,HASH,2/25,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,1
3,ADD,,3,n0,ADD,5/8,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
3,ADD,,3,n1,ADD,5/8,1,1,2,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,
3,ADD,,3,n2,ADD,1/100,124,124,125,124,124,124,1,0,1,0,0,0,0,0,1,1,124,124,1,63,124,0,61,0,
4,SUB,,3,n0,SUB,1/16,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
4,SUB,,3,n1,SUB,7/48,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
4,SUB,,3,n2,SUB,1/6,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
5,THETA,HC_DEEP,6,n0,THETA,16/15,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
5,THETA,HC_DEEP,6,n1,THETA,3/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
5,THETA,HC_DEEP,6,n2,THETA,3/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
5,THETA,HC_DEEP,6,n3,THETA,16/25,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
5,THETA,HC_DEEP,6,n4,THETA,10/9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,
5,THETA,HC_DEEP,6,n5,THETA,128/75,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,2,2,1,1,2,0,1,0,
6,NTHETA,,1,n0,NTHETA,2/3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
7,AGSE,HC_DEEP,6,n0,AGSE,1/9,2,2,3,2,2,2,1,0,1,0,1,1,1,1,1,1,3,3,1,0,2,0,2,0,
7,AGSE,HC_DEEP,6,n1,AGSE,2/9,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,3,1,0,1,0,1,0,
7,AGSE,HC_DEEP,6,n2,AGSE,1/6,1,1,2,1,1,2,1,0,1,1,2,2,2,2,1,1,3,3,1,2,1,0,-1,0,
7,AGSE,HC_DEEP,6,n3,AGSE,1/6,1,1,2,1,1,2,1,0,1,1,2,2,2,2,1,1,3,3,1,2,1,0,-1,0,
7,AGSE,HC_DEEP,6,n4,AGSE,1/6,1,1,2,1,1,2,1,0,1,1,1,1,1,1,1,1,2,2,1,2,1,0,-1,0,
7,AGSE,HC_DEEP,6,n5,AGSE,1/6,2,2,2,2,2,2,1,1,1,1,4,4,4,4,1,1,6,6,1,2,2,0,0,0,
8,REDUCE,HC_DEEP,6,n0,REDUCE,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,6,n1,REDUCE,4/25,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,6,n2,REDUCE,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,6,n3,REDUCE,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,6,n4,REDUCE,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
8,REDUCE,HC_DEEP,6,n5,REDUCE,2/5,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,
9,HC_NONINT,HC_NONINT,1,n0,HASH,2/9,2,2,3,2,2,2,1,0,1,0,0,0,0,0,1,1,2,2,1,0,2,1,2,0,2
