plan,stratum,consumer,kind,child,child_declared,needed,provided,deficit
1,SHIFT,n0,SHIFT,s2,1,2,9,-7
1,SHIFT,n1,SHIFT,s2,1,9,9,0
1,SHIFT,n2,SHIFT,n1,0,6,6,0
1,SHIFT,n3,SHIFT,n1,0,6,6,0
2,HASH,n0,HASH,s0,1,1,4,-3
2,HASH,n0,HASH,s1,1,2,4,-2
2,HASH,n1,HASH,n0,0,1,4,-3
2,HASH,n1,HASH,s0,1,3,4,-1
2,HASH,n2,HASH,n0,0,1,4,-3
2,HASH,n2,HASH,s0,1,3,4,-1
3,ADD,n0,ADD,s1,1,7,7,0
3,ADD,n0,ADD,s0,1,3,3,0
3,ADD,n1,ADD,s0,1,3,3,0
3,ADD,n1,ADD,n0,0,1,1,0
4,SUB,n0,SUB,s1,1,3,3,0
4,SUB,n1,SUB,s0,1,3,3,0
4,SUB,n2,SUB,n1,0,1,1,0
4,SUB,n3,SUB,n1,0,1,1,0
5,THETA,n0,THETA,s0,1,2,4,-2
6,NTHETA,n0,NTHETA,s0,1,3,4,-1
6,NTHETA,n1,NTHETA,s0,1,2,4,-2
6,NTHETA,n2,NTHETA,s0,1,3,4,-1
6,NTHETA,n3,NTHETA,n0,0,3,4,-1
7,AGSE,n0,AGSE,s2,1,6,5,1
7,AGSE,n1,AGSE,n0,0,3,3,0
7,AGSE,n2,AGSE,s2,1,6,5,1
7,AGSE,n3,AGSE,n2,0,3,3,0
7,AGSE,n4,AGSE,s0,1,4,3,1
9,HC_NONINT,n0,SUB,s0,1,5,9,-4
9,HC_NONINT,n1,SHIFT,s1,1,4,4,0
9,HC_NONINT,n2,HASH,s1,1,1,4,-3
9,HC_NONINT,n2,HASH,s0,1,8,9,-1
9,HC_NONINT,n3,SHIFT,s0,1,4,9,-5
10,HC_SHIFT_UNDER_HASH,n0,SHIFT,s1,1,4,4,0
10,HC_SHIFT_UNDER_HASH,n1,HASH,s0,1,3,5,-2
10,HC_SHIFT_UNDER_HASH,n1,HASH,n0,0,1,4,-3
11,HC_INT,n0,SUB,s0,1,3,3,0
11,HC_INT,n1,HASH,n0,0,1,4,-3
11,HC_INT,n1,HASH,s1,1,1,4,-3
12,HC_SINGLE,n0,SUB,s0,1,3,3,0
13,HC_DEEP,n3,AGSE,n1,0,6,6,0
15,SHIFT,n0,SHIFT,s0,1,9,9,0
15,SHIFT,n1,SHIFT,s0,1,4,9,-5
16,HASH,n0,HASH,s1,1,1,4,-3
16,HASH,n0,HASH,s0,1,2,4,-2
16,HASH,n1,HASH,n0,0,1,4,-3
16,HASH,n1,HASH,s0,1,3,4,-1
16,HASH,n2,HASH,n1,0,1,4,-3
16,HASH,n2,HASH,n0,0,3,4,-1
17,ADD,n0,ADD,s2,1,4,6,-2
17,ADD,n0,ADD,s1,1,4,4,0
17,ADD,n1,ADD,s2,1,6,6,0
17,ADD,n1,ADD,s0,1,4,4,0
18,SUB,n0,SUB,s0,1,4,4,0
18,SUB,n1,SUB,n0,0,2,1,1
18,SUB,n2,SUB,n0,0,2,1,1
19,THETA,n0,THETA,s1,1,2,4,-2
19,THETA,n1,THETA,n0,0,1,5,-4
19,THETA,n2,THETA,s0,1,2,4,-2
19,THETA,n3,THETA,n0,0,3,5,-2
19,THETA,n4,THETA,s1,1,2,4,-2
20,NTHETA,n0,NTHETA,s0,1,3,4,-1
20,NTHETA,n1,NTHETA,s0,1,3,4,-1
20,NTHETA,n2,NTHETA,s0,1,2,4,-2
20,NTHETA,n3,NTHETA,s1,1,2,4,-2
20,NTHETA,n4,NTHETA,s1,1,2,4,-2
21,AGSE,n0,AGSE,s1,1,4,3,1
23,HC_NONINT,n0,SHIFT,s1,1,9,9,0
23,HC_NONINT,n1,SHIFT,s1,1,4,9,-5
23,HC_NONINT,n2,HASH,s1,1,1,9,-8
23,HC_NONINT,n2,HASH,n0,0,1,4,-3
23,HC_NONINT,n3,HASH,n1,0,1,4,-3
23,HC_NONINT,n3,HASH,n0,0,1,4,-3
23,HC_NONINT,n4,HASH,n0,0,2,4,-2
23,HC_NONINT,n4,HASH,s0,1,1,4,-3
24,HC_SHIFT_UNDER_HASH,n0,SHIFT,s1,1,9,9,0
24,HC_SHIFT_UNDER_HASH,n1,HASH,s1,1,1,9,-8
24,HC_SHIFT_UNDER_HASH,n1,HASH,n0,0,1,4,-3
25,HC_INT,n1,HASH,n0,0,1,4,-3
25,HC_INT,n1,HASH,s0,1,1,4,-3
25,HC_INT,n2,SUB,s0,1,3,4,-1
