plan,stratum,status,kinds,detail
0,PASS,zgodne,,
1,SHIFT,zgodne,,
2,HASH,zgodne,,
3,ADD,zgodne,,
4,SUB,zgodne,,
5,THETA,zgodne,,
6,NTHETA,zgodne,,
7,AGSE,zgodne,,
8,REDUCE,zgodne,,
9,HC_NONINT,zgodne,,
10,HC_SHIFT_UNDER_HASH,zgodne,,
11,HC_INT,zgodne,,
12,HC_SINGLE,zgodne,,
13,HC_DEEP,zgodne,,
14,WINDOW,zgodne,,
15,PASS,zgodne,,
16,SHIFT,zgodne,,
17,HASH,zgodne,,
18,ADD,zgodne,,
19,SUB,zgodne,,
20,THETA,zgodne,,
21,NTHETA,zgodne,,
22,AGSE,zgodne,,
23,REDUCE,zgodne,,
24,HC_NONINT,zgodne,,
25,HC_SHIFT_UNDER_HASH,zgodne,,
26,HC_INT,zgodne,,
27,HC_SINGLE,zgodne,,
28,HC_DEEP,zgodne,,
29,WINDOW,zgodne,,
30,PASS,zgodne,,
31,SHIFT,zgodne,,
32,HASH,zgodne,,
33,ADD,zgodne,,
34,SUB,zgodne,,
35,THETA,zgodne,,
36,NTHETA,zgodne,,
37,AGSE,zgodne,,
38,REDUCE,zgodne,,
39,HC_NONINT,zgodne,,
40,HC_SHIFT_UNDER_HASH,zgodne,,
41,HC_INT,zgodne,,
42,HC_SINGLE,zgodne,,
43,HC_DEEP,zgodne,,
44,WINDOW,zgodne,,
45,PASS,zgodne,,
46,SHIFT,zgodne,,
47,HASH,zgodne,,
48,ADD,zgodne,,
49,SUB,zgodne,,
50,THETA,zgodne,,
51,NTHETA,zgodne,,
52,AGSE,zgodne,,
53,REDUCE,zgodne,,
54,HC_NONINT,zgodne,,
55,HC_SHIFT_UNDER_HASH,zgodne,,
56,HC_INT,zgodne,,
57,HC_SINGLE,zgodne,,
58,HC_DEEP,zgodne,,
59,WINDOW,zgodne,,
60,PASS,zgodne,,
61,SHIFT,zgodne,,
62,HASH,zgodne,,
63,ADD,zgodne,,
64,SUB,zgodne,,
65,THETA,zgodne,,
66,NTHETA,zgodne,,
67,AGSE,zgodne,,
68,REDUCE,zgodne,,
69,HC_NONINT,zgodne,,
70,HC_SHIFT_UNDER_HASH,zgodne,,
71,HC_INT,zgodne,,
72,HC_SINGLE,zgodne,,
73,HC_DEEP,zgodne,,
74,WINDOW,zgodne,,
75,PASS,zgodne,,
76,SHIFT,zgodne,,
77,HASH,zgodne,,
78,ADD,zgodne,,
79,SUB,zgodne,,
80,THETA,zgodne,,
81,NTHETA,zgodne,,
82,AGSE,zgodne,,
83,REDUCE,zgodne,,
84,HC_NONINT,zgodne,,
85,HC_SHIFT_UNDER_HASH,zgodne,,
86,HC_INT,zgodne,,
87,HC_SINGLE,zgodne,,
88,HC_DEEP,zgodne,,
89,WINDOW,zgodne,,
90,PASS,zgodne,,
91,SHIFT,zgodne,,
92,HASH,zgodne,,
93,ADD,zgodne,,
94,SUB,zgodne,,
95,THETA,zgodne,,
96,NTHETA,zgodne,,
97,AGSE,zgodne,,
98,REDUCE,zgodne,,
99,HC_NONINT,zgodne,,
100,HC_SHIFT_UNDER_HASH,zgodne,,
101,HC_INT,zgodne,,
102,HC_SINGLE,zgodne,,
103,HC_DEEP,zgodne,,
104,WINDOW,zgodne,,
105,PASS,zgodne,,
106,SHIFT,zgodne,,
107,HASH,zgodne,,
108,ADD,zgodne,,
109,SUB,zgodne,,
110,THETA,zgodne,,
111,NTHETA,zgodne,,
112,AGSE,zgodne,,
113,REDUCE,zgodne,,
114,HC_NONINT,zgodne,,
115,HC_SHIFT_UNDER_HASH,poza budżetem,,horyzont 8.44 s > 8 s
116,HC_INT,zgodne,,
117,HC_SINGLE,zgodne,,
118,HC_DEEP,zgodne,,
119,WINDOW,zgodne,,
